Name,X,Y,Z,Density_gcm3,RQD_Pct,Cr_ppm,CP_Total,PO_Total,PY_Total
KV-NME001,3498922.13,7511747.51,148.8,3.13,88.0,212.6,1.0,1.0,0.0
KV-NME001,3498922.68,7511747.45,146.88,3.15,88.0,268.0,1.0,1.0,0.0
KV-NME001,3498945.16,7511745.25,70.14,3.22,99.0,215.0,1.0,1.0,0.0
KV-NME001,3498945.73,7511745.2,68.22,3.22,99.0,236.0,1.5,2.0,0.0
KV-NME001,3498946.29,7511745.15,66.3,3.22,99.0,256.0,2.0,3.0,0.0
KV-NME001,3498946.86,7511745.1,64.39,3.23,99.0,267.5,2.0,3.0,0.0
KV-NME001,3498947.43,7511745.05,62.47,3.23,99.0,255.5,2.0,3.0,0.0
KV-NME001,3498947.99,7511744.99,60.55,3.23,99.0,223.5,2.0,3.0,0.0
KV-NME001,3498948.56,7511744.94,58.63,3.23,99.0,206.0,2.0,3.0,0.0
KV-NME001,3498949.12,7511744.89,56.72,3.23,99.0,201.0,2.0,3.0,0.0
KV-NME001,3498949.69,7511744.84,54.8,3.22,99.0,195.0,2.0,3.0,0.0
KV-NME001,3498950.25,7511744.78,52.88,3.21,99.0,194.0,2.0,3.0,0.0
KV-NME001,3498950.82,7511744.73,50.96,3.2,99.0,193.5,2.0,3.0,0.0
KV-NME001,3498951.39,7511744.68,49.05,3.19,99.0,191.0,2.0,3.0,0.0
KV-NME001,3498953.08,7511744.52,43.29,3.21,98.0,207.5,1.0,2.0,0.0
KV-NME001,3498953.65,7511744.47,41.38,3.21,98.0,159.0,1.0,2.0,0.0
KV-NME001,3498954.21,7511744.44,39.46,3.19,98.0,157.0,1.0,2.0,0.0
KV-NME001,3498954.77,7511744.4,37.54,3.2,98.0,163.5,1.0,2.0,0.0
KV-NME001,3498955.33,7511744.37,35.62,3.19,98.0,174.2,1.0,2.0,0.0
KV-NME001,3498955.88,7511744.34,33.7,3.16,98.0,279.0,1.0,2.0,0.0
KV-NME001,3498956.44,7511744.3,31.78,3.2,98.0,148.0,1.0,2.0,0.0
KV-NME001,3498957.0,7511744.27,29.86,3.19,98.0,166.5,1.0,2.0,0.0
KV-NME001,3498960.91,7511744.04,16.41,3.2,95.0,346.0,1.0,2.0,0.0
