Name,X,Y,Z,RQD_Pct,Cr_ppm,CP_Total,PO_Total,PY_Total
KV-NME001,3498922.13,7511747.51,148.8,88.0,212.6,1.0,1.0,0.0
KV-NME001,3498922.68,7511747.45,146.88,88.0,268.0,1.0,1.0,0.0
KV-NME001,3498945.16,7511745.25,70.14,99.0,215.0,1.0,1.0,0.0
KV-NME001,3498945.73,7511745.2,68.22,99.0,236.0,1.5,2.0,0.0
KV-NME001,3498946.29,7511745.15,66.3,99.0,256.0,2.0,3.0,0.0
KV-NME001,3498946.86,7511745.1,64.39,99.0,267.5,2.0,3.0,0.0
KV-NME001,3498947.43,7511745.05,62.47,99.0,255.5,2.0,3.0,0.0
KV-NME001,3498947.99,7511744.99,60.55,99.0,223.5,2.0,3.0,0.0
KV-NME001,3498948.56,7511744.94,58.63,99.0,206.0,2.0,3.0,0.0
KV-NME001,3498949.12,7511744.89,56.72,99.0,201.0,2.0,3.0,0.0
KV-NME001,3498949.69,7511744.84,54.8,99.0,195.0,2.0,3.0,0.0
KV-NME001,3498950.25,7511744.78,52.88,99.0,194.0,2.0,3.0,0.0
KV-NME001,3498950.82,7511744.73,50.96,99.0,193.5,2.0,3.0,0.0
KV-NME001,3498951.39,7511744.68,49.05,99.0,191.0,2.0,3.0,0.0
KV-NME001,3498953.08,7511744.52,43.29,98.0,207.5,1.0,2.0,0.0
KV-NME001,3498953.65,7511744.47,41.38,98.0,159.0,1.0,2.0,0.0
KV-NME001,3498954.21,7511744.44,39.46,98.0,157.0,1.0,2.0,0.0
KV-NME001,3498954.77,7511744.4,37.54,98.0,163.5,1.0,2.0,0.0
KV-NME001,3498955.33,7511744.37,35.62,98.0,174.2,1.0,2.0,0.0
KV-NME001,3498955.88,7511744.34,33.7,98.0,279.0,1.0,2.0,0.0
KV-NME001,3498956.44,7511744.3,31.78,98.0,148.0,1.0,2.0,0.0
KV-NME001,3498957.0,7511744.27,29.86,98.0,166.5,1.0,2.0,0.0
KV-NME001,3498960.91,7511744.04,16.41,95.0,346.0,1.0,2.0,0.0
KV-NME001,3498961.47,7511744.01,14.49,95.0,365.5,1.0,2.0,0.0
KV-NME001,3498962.03,7511743.97,12.57,95.0,428.0,1.0,2.0,0.0
KV-NME001,3498962.59,7511743.94,10.65,97.5,365.0,1.0,2.0,0.0
KV-NME001,3498963.15,7511743.91,8.73,100.0,271.5,1.0,2.0,0.0
KV-NME001,3498963.7,7511743.88,6.81,100.0,271.0,1.0,2.0,0.0
KV-NME001,3498964.26,7511743.84,4.89,100.0,281.5,1.0,2.0,0.0
KV-NME001,3498964.82,7511743.81,2.97,100.0,233.0,1.0,2.0,0.0
KV-NME001,3498965.38,7511743.78,1.05,100.0,218.5,1.0,2.0,0.0
KV-NME001,3498965.94,7511743.74,-0.87,100.0,263.5,1.0,2.0,0.0
KV-NME001,3498967.06,7511743.68,-4.71,92.0,555.2,1.0,2.0,0.0
KV-NME001,3498967.62,7511743.65,-6.63,92.0,250.0,1.0,2.0,0.0
KV-NME001,3498968.17,7511743.61,-8.55,96.2,217.0,1.0,2.0,0.0
KV-NME001,3498968.73,7511743.58,-10.47,99.0,291.0,1.0,2.0,0.0
KV-NME001,3498969.29,7511743.54,-12.39,99.0,191.0,1.0,2.0,0.0
KV-NME001,3498969.85,7511743.48,-14.31,99.0,191.0,1.0,2.0,0.0
KV-NME001,3498970.41,7511743.43,-16.23,99.0,232.0,1.0,2.0,0.0
KV-NME001,3498970.97,7511743.38,-18.15,99.0,164.0,1.0,2.0,0.0
KV-NME001,3498971.52,7511743.33,-20.07,99.0,209.0,1.0,2.0,0.0
KV-NME001,3498972.08,7511743.28,-21.99,99.0,159.2,1.0,2.0,0.0
KV-NME001,3498972.64,7511743.23,-23.91,99.0,211.0,1.0,1.25,0.0
KV-NME001,3498973.2,7511743.17,-25.83,99.0,329.0,1.0,1.0,0.0
KV-NME001,3498973.76,7511743.12,-27.75,99.0,269.0,1.0,1.0,0.0
KV-NME001,3498974.32,7511743.07,-29.66,99.0,316.2,1.0,1.0,0.0
KV-NME001,3498981.64,7511742.24,-54.6,65.0,379.13,1.0,1.0,0.0
KV-NME001,3498984.48,7511741.84,-64.18,94.0,249.75,1.0,1.0,0.0
KV-NME001,3498993.02,7511740.56,-92.91,37.0,340.42,1.0,1.0,0.0
KV-NME001,3498993.59,7511740.46,-94.82,37.0,250.0,1.0,1.0,0.0
KV-NME001,3498994.17,7511740.37,-96.73,42.8,187.0,1.0,1.0,0.0
KV-NME001,3498994.74,7511740.27,-98.65,95.0,187.0,1.0,1.0,0.0
KV-NME001,3498995.31,7511740.18,-100.56,95.0,225.0,1.0,1.0,0.0
KV100,3499034.49,7512349.99,178.05,88.0,516.0,3.0,15.0,0.0
KV100,3499034.84,7512349.98,176.08,52.3,544.5,3.0,15.0,0.0
KV100,3499035.19,7512349.97,174.11,94.1,584.47,3.0,12.9,0.0
KV100,3499036.23,7512349.96,168.2,96.0,957.28,1.0,3.17,0.0
KV100,3499036.58,7512349.95,166.23,96.0,1330.0,1.0,1.0,0.0
KV100,3499036.93,7512349.95,164.26,96.0,1110.0,1.0,1.0,0.0
KV100,3499037.27,7512349.94,162.29,95.0,938.07,1.0,1.0,0.0
KV100,3499040.75,7512349.89,142.6,79.33,779.5,1.0,2.0,0.0
KV100,3499041.11,7512349.9,140.63,76.0,789.5,1.0,2.0,0.0
KV100,3499041.46,7512349.91,138.66,76.0,746.0,1.0,2.0,0.0
KV100,3499041.81,7512349.91,136.69,76.0,747.5,1.0,2.0,0.0
KV100,3499042.17,7512349.92,134.72,76.0,499.02,1.0,1.69,0.0
KV100,3499044.65,7512349.98,120.95,86.0,1305.5,1.0,1.0,0.0
KV100,3499045.0,7512349.99,118.98,90.25,983.88,1.0,1.0,0.0
KV100,3499045.36,7512349.99,117.01,96.0,589.0,1.0,1.0,0.0
KV100,3499045.71,7512350.0,115.04,96.0,585.1,1.0,1.0,0.0
KV100,3499048.53,7512350.11,99.29,97.0,336.5,2.0,1.75,0.0
KV100,3499048.87,7512350.14,97.32,97.0,219.0,2.0,2.0,0.0
KV100,3499049.22,7512350.17,95.35,97.0,449.0,2.0,2.0,0.0
KV100,3499049.56,7512350.2,93.38,97.0,244.0,2.0,1.98,0.0
KV100,3499051.28,7512350.35,83.53,98.0,275.94,1.0,2.07,0.0
KV100,3499051.63,7512350.38,81.56,98.0,313.5,1.0,3.0,0.0
KV100,3499051.97,7512350.41,79.59,98.0,275.0,1.0,3.0,0.0
KV100,3499052.3,7512350.48,77.62,98.0,244.0,1.0,3.0,0.0
KV100,3499052.63,7512350.55,75.65,98.0,211.5,1.0,3.0,0.0
KV100,3499052.95,7512350.61,73.68,98.0,260.0,1.0,3.0,0.0
KV100,3499053.28,7512350.68,71.7,72.36,274.0,1.0,2.47,0.0
KV100,3499053.61,7512350.75,69.73,94.0,195.0,1.0,3.0,0.0
KV100,3499058.17,7512351.68,42.12,98.0,170.2,2.0,1.65,0.0
KV100,3499058.49,7512351.76,40.15,98.0,195.0,2.0,2.0,0.0
KV100,3499058.8,7512351.83,38.18,98.0,195.0,2.0,2.0,0.0
KV100,3499059.12,7512351.91,36.2,98.0,210.0,2.0,2.0,0.0
KV100,3499059.43,7512351.98,34.23,98.0,223.0,2.0,2.0,0.0
KV100,3499059.74,7512352.06,32.25,65.13,447.05,2.0,1.77,0.0
KV100,3499060.37,7512352.21,28.31,96.0,143.5,1.0,1.0,0.0
KV100,3499060.69,7512352.28,26.33,96.0,167.0,1.0,1.0,0.0
KV100,3499061.0,7512352.36,24.36,96.0,194.0,1.0,1.0,0.0
KV100,3499061.32,7512352.43,22.39,88.95,201.5,1.0,1.0,0.0
KV100,3499061.63,7512352.51,20.41,74.71,248.7,1.0,1.46,0.0
KV100,3499061.95,7512352.58,18.44,87.0,248.5,1.0,2.0,0.0
KV100,3499062.26,7512352.65,16.46,34.97,194.5,1.0,2.0,0.0
KV100,3499062.57,7512352.73,14.49,93.0,110.29,1.0,2.0,0.0
KV100,3499062.89,7512352.8,12.52,93.0,101.15,1.0,2.0,0.0
KV100,3499063.2,7512352.88,10.54,93.0,164.44,1.0,1.82,0.0
KV100,3499063.52,7512352.95,8.57,93.0,237.5,1.0,2.0,0.0
KV100,3499063.83,7512353.03,6.6,93.0,375.5,1.0,2.0,0.0
KV100,3499064.15,7512353.1,4.62,93.94,422.0,1.0,2.0,0.0
KV100,3499064.46,7512353.18,2.65,97.0,392.5,1.0,2.0,0.0
KV100,3499066.03,7512353.55,-7.22,91.0,222.88,1.0,2.83,0.0
KV100,3499066.35,7512353.62,-9.19,93.8,284.0,1.0,3.0,0.0
KV100,3499066.66,7512353.7,-11.17,98.0,230.0,1.0,3.0,0.0
KV100,3499066.97,7512353.77,-13.14,98.0,409.0,1.0,3.0,0.0
KV100,3499067.29,7512353.85,-15.11,98.0,455.0,1.0,3.0,0.0
KV100,3499067.6,7512353.92,-17.09,98.0,320.0,1.0,3.0,0.0
KV100,3499067.92,7512354.0,-19.06,98.0,287.0,1.0,3.0,0.0
KV100,3499068.23,7512354.07,-21.04,98.0,274.0,1.0,3.0,0.0
KV100,3499068.55,7512354.15,-23.01,98.0,369.0,1.0,3.0,0.0
KV100,3499068.86,7512354.22,-24.98,98.0,328.0,1.0,3.0,0.0
KV100,3499069.18,7512354.29,-26.96,98.0,302.0,1.0,3.0,0.0
KV100,3499069.49,7512354.37,-28.93,98.0,353.0,1.0,3.0,0.0
KV100,3499069.8,7512354.44,-30.9,98.0,423.0,1.0,3.0,0.0
KV100,3499070.12,7512354.52,-32.88,92.48,470.75,1.0,2.63,0.0
KV100,3499070.43,7512354.59,-34.85,90.0,283.77,1.0,2.0,0.0
KV100,3499071.06,7512354.74,-38.8,90.0,483.5,1.0,2.0,0.0
KV100,3499071.38,7512354.82,-40.77,95.28,337.75,1.0,2.76,0.0
KV100,3499071.69,7512354.89,-42.75,96.0,480.0,1.25,2.0,0.0
KV100,3499072.0,7512354.97,-44.72,96.0,367.5,2.0,2.0,0.0
KV100,3499072.32,7512355.04,-46.69,96.0,282.5,2.0,1.5,0.0
KV100,3499073.26,7512355.26,-52.62,97.0,222.5,2.0,2.0,0.0
KV100,3499073.58,7512355.34,-54.59,97.0,173.5,2.0,2.0,0.0
KV100,3499073.89,7512355.41,-56.56,97.0,108.25,2.0,2.0,0.0
KV100,3499074.21,7512355.49,-58.54,97.0,142.75,2.0,2.0,0.0
KV100,3499074.52,7512355.56,-60.51,96.04,294.0,2.0,2.0,0.0
KV100,3499074.83,7512355.64,-62.48,96.0,402.0,2.0,2.0,0.0
KV100,3499075.15,7512355.71,-64.46,96.0,426.0,2.0,2.0,0.0
KV100,3499075.46,7512355.79,-66.43,93.38,313.98,1.8,1.8,0.0
KV100,3499075.78,7512355.86,-68.41,75.0,55.65,1.0,1.0,0.0
KV100,3499076.09,7512355.93,-70.38,75.0,150.18,1.0,1.42,0.0
KV100,3499076.41,7512356.01,-72.35,90.75,154.4,1.34,1.34,0.0
KV100,3499076.72,7512356.08,-74.33,96.0,320.0,2.0,2.0,0.0
KV100,3499077.03,7512356.16,-76.3,96.0,290.5,2.0,2.0,0.0
KV100,3499077.35,7512356.23,-78.27,96.0,311.5,2.0,2.0,0.0
KV100,3499077.66,7512356.31,-80.25,96.0,346.5,2.0,2.0,0.0
KV100,3499077.98,7512356.38,-82.22,96.0,330.0,2.0,2.0,0.0
KV100,3499078.29,7512356.46,-84.2,68.97,333.49,1.17,2.83,0.0
KV100,3499078.61,7512356.53,-86.17,84.5,264.0,1.0,3.0,0.0
KV100,3499078.92,7512356.61,-88.14,99.0,304.0,1.0,3.0,0.0
KV100,3499079.24,7512356.68,-90.12,99.0,182.0,1.0,3.0,0.0
KV100,3499079.55,7512356.76,-92.09,99.0,346.0,1.0,3.0,0.0
KV100,3499079.86,7512356.84,-94.06,81.36,237.9,1.0,1.25,0.0
KV100,3499081.42,7512357.23,-103.93,90.0,467.38,1.0,1.63,0.0
KV100,3499082.36,7512357.47,-109.86,90.0,882.5,1.0,2.0,0.0
KV100,3499082.67,7512357.54,-111.83,90.0,913.5,1.0,2.0,0.0
KV100,3499082.98,7512357.62,-113.8,90.0,899.5,1.0,2.0,0.0
KV100,3499083.3,7512357.7,-115.78,90.0,694.5,1.0,2.0,0.0
KV100,3499083.61,7512357.78,-117.75,90.0,640.0,1.0,2.0,0.0
KV100,3499083.92,7512357.86,-119.72,90.0,626.0,1.0,2.0,0.0
KV100,3499084.23,7512357.94,-121.7,43.85,729.0,1.0,2.0,0.0
KV100,3499084.55,7512358.02,-123.67,76.46,823.88,1.0,2.0,0.0
KV100,3499084.86,7512358.09,-125.65,87.0,955.5,1.0,2.0,0.0
KV100,3499085.17,7512358.17,-127.62,87.0,1009.5,1.0,2.0,0.0
KV100,3499086.73,7512358.57,-137.49,97.83,673.1,1.0,1.0,0.0
KV100,3499087.04,7512358.64,-139.46,98.0,1031.5,1.0,1.12,0.0
KV100,3499087.36,7512358.72,-141.44,98.0,585.0,1.0,3.0,0.0
KV100,3499087.67,7512358.8,-143.41,98.0,656.0,1.0,3.0,0.0
KV100,3499087.98,7512358.88,-145.39,98.0,563.0,1.0,3.0,0.0
KV100,3499088.29,7512358.96,-147.36,98.0,529.0,1.0,3.0,0.0
KV100,3499088.61,7512359.04,-149.33,98.0,625.0,1.0,3.0,0.0
KV100,3499088.92,7512359.12,-151.31,98.0,545.0,1.0,3.0,0.0
KV100,3499089.23,7512359.19,-153.28,98.0,440.0,1.0,3.0,0.0
KV100,3499089.54,7512359.27,-155.25,98.0,431.0,1.0,3.0,0.0
KV100,3499089.86,7512359.35,-157.23,98.0,414.0,1.0,3.0,0.0
KV100,3499090.17,7512359.43,-159.2,98.0,562.04,1.0,2.52,0.0
KV100,3499090.79,7512359.57,-163.15,97.0,633.15,1.0,2.0,0.0
KV100,3499091.1,7512359.64,-165.13,97.0,566.5,1.0,2.0,0.0
KV100,3499091.42,7512359.71,-167.1,97.0,814.5,1.0,2.0,0.0
KV100,3499092.35,7512359.91,-173.02,97.06,726.5,1.0,1.0,0.0
KV100,3499092.66,7512359.97,-175.0,98.0,466.0,1.0,1.0,0.0
KV100,3499092.97,7512360.04,-176.97,98.0,562.0,1.0,1.0,0.0
KV101,3498663.6,7512350.3,196.65,94.0,484.52,1.0,1.0,0.0
KV101,3498664.26,7512350.31,194.77,94.0,375.0,1.0,1.0,0.0
KV101,3498664.93,7512350.33,192.88,94.0,552.5,1.0,1.0,0.0
KV101,3498665.59,7512350.34,190.99,62.0,647.5,1.0,1.0,0.0
KV101,3498666.25,7512350.36,189.11,74.5,618.6,1.0,1.0,0.0
KV101,3498666.92,7512350.38,187.22,95.0,324.5,1.0,1.0,0.0
KV101,3498667.58,7512350.39,185.33,95.0,362.0,1.0,1.0,0.0
KV101,3498668.24,7512350.41,183.45,95.0,312.5,1.0,1.0,0.0
KV101,3498671.53,7512350.51,174.0,94.5,410.5,1.0,1.0,0.0
KV101,3498672.18,7512350.54,172.11,99.0,254.0,1.0,1.0,0.0
KV101,3498733.76,7512353.12,-11.83,84.0,561.92,1.0,3.0,0.0
KV101,3498734.4,7512353.13,-13.73,75.7,537.5,1.5,4.0,0.0
KV101,3498745.75,7512353.1,-47.89,99.0,709.0,1.0,1.0,0.0
KV101,3498746.37,7512353.08,-49.79,99.0,718.5,1.0,1.0,0.0
KV101,3498746.99,7512353.07,-51.69,99.0,616.0,1.0,1.0,0.0
KV101,3498747.61,7512353.06,-53.6,99.0,527.0,1.0,1.0,0.0
KV101,3498750.73,7512352.99,-63.1,79.75,828.85,1.0,3.56,0.0
KV101,3498786.51,7512349.86,-177.58,88.0,760.4,1.0,1.0,0.0
KV101,3498787.08,7512349.77,-179.49,88.0,719.28,1.0,1.0,0.0
KV101,3498791.08,7512349.18,-192.9,88.0,808.3,1.0,1.0,0.0
KV103,3498741.3,7512200.11,201.29,88.5,535.13,1.0,3.95,0.0
KV103,3498753.02,7512200.42,178.08,84.0,869.0,0.0,2.0,0.0
KV103,3498753.94,7512200.44,176.3,84.0,1080.0,0.0,2.0,0.0
KV103,3498754.85,7512200.47,174.53,84.0,1020.0,0.0,2.0,0.0
KV103,3498755.77,7512200.5,172.75,84.0,858.0,0.0,2.0,0.0
KV103,3498756.7,7512200.52,170.98,84.0,1100.0,0.0,2.0,0.0
KV103,3498758.57,7512200.56,167.44,84.0,983.0,1.0,1.0,0.0
KV103,3498759.5,7512200.58,165.67,84.0,1110.0,1.0,1.0,0.0
KV103,3498760.44,7512200.6,163.9,84.0,896.5,1.0,1.0,0.0
KV103,3498761.37,7512200.62,162.14,84.0,916.5,1.0,1.0,0.0
KV103,3498762.3,7512200.64,160.37,84.0,1080.0,1.0,1.0,0.0
KV103,3498763.24,7512200.66,158.6,84.0,1160.0,1.0,1.0,0.0
KV103,3498880.69,7512206.91,-73.24,84.0,356.0,3.0,4.4,0.0
KV103,3498882.41,7512207.04,-76.85,84.0,596.0,3.0,4.0,0.0
KV103,3498883.27,7512207.11,-78.65,84.0,612.0,3.0,4.0,0.0
KV103,3498884.98,7512207.25,-82.26,95.0,931.0,2.0,5.0,0.0
KV103,3498885.84,7512207.32,-84.07,95.0,980.5,2.0,5.0,0.0
KV103,3498888.41,7512207.53,-89.49,95.0,928.5,2.0,4.0,0.0
KV103,3498889.27,7512207.6,-91.29,95.0,993.0,2.0,4.0,0.0
KV103,3498890.12,7512207.67,-93.1,95.0,886.4,2.0,3.4,0.0
KV103,3498893.55,7512207.94,-100.32,95.0,692.45,4.48,12.13,0.0
KV103,3498894.41,7512208.01,-102.13,95.0,826.5,2.0,4.0,0.0
KV103,3498895.27,7512208.08,-103.93,97.55,697.0,2.0,4.0,0.0
KV103,3498896.13,7512208.15,-105.74,98.0,489.0,2.0,4.0,0.0
KV103,3498896.98,7512208.22,-107.54,98.0,384.5,2.0,4.0,0.0
KV103,3498897.84,7512208.29,-109.35,98.0,333.25,2.0,2.88,0.0
KV103,3498909.76,7512209.5,-134.66,100.0,349.0,5.0,6.0,0.0
KV103,3498910.61,7512209.59,-136.46,100.0,281.5,5.0,6.0,0.0
KV103,3498911.46,7512209.68,-138.27,100.0,426.0,5.0,6.0,0.0
KV103,3498912.31,7512209.77,-140.08,100.0,471.0,5.0,6.0,0.0
KV103,3498913.16,7512209.85,-141.89,100.0,307.0,5.0,6.0,0.0
KV103,3498914.01,7512209.94,-143.7,100.0,303.5,5.0,6.0,0.0
KV103,3498914.86,7512210.03,-145.5,100.0,452.0,5.0,6.0,0.0
KV103,3498915.71,7512210.12,-147.31,100.0,516.5,5.0,6.0,0.0
KV103,3498916.56,7512210.21,-149.12,100.0,502.0,5.0,6.0,0.0
KV103,3498917.41,7512210.3,-150.93,100.0,455.5,5.0,6.0,0.0
KV103,3498918.26,7512210.38,-152.73,100.0,411.5,5.0,6.0,0.0
KV103,3498919.12,7512210.47,-154.54,100.0,395.0,5.0,6.0,0.0
KV103,3498919.97,7512210.56,-156.35,100.0,339.5,5.0,6.0,0.0
KV103,3498920.82,7512210.66,-158.16,100.0,341.5,5.0,6.0,0.0
KV103,3498921.67,7512210.76,-159.96,100.0,338.0,5.0,6.0,0.0
KV103,3498922.53,7512210.86,-161.77,100.0,296.5,5.0,6.0,0.0
KV103,3498925.09,7512211.16,-167.19,99.45,345.5,2.0,4.0,0.0
KV103,3498928.5,7512211.55,-174.41,99.0,268.0,2.0,3.0,0.0
KV103,3498931.91,7512211.95,-181.64,99.0,273.4,2.0,2.78,0.0
KV103,3498932.76,7512212.05,-183.44,99.0,239.0,2.0,4.0,0.0
KV103,3498933.62,7512212.15,-185.25,99.0,217.0,2.0,4.0,0.0
KV103,3498934.47,7512212.25,-187.05,99.0,335.85,2.0,0.0,0.0
KV103,3498943.82,7512213.29,-206.94,99.0,216.0,1.0,0.95,0.0
KV103,3498944.66,7512213.38,-208.75,99.0,373.0,1.0,1.0,0.0
KV103,3498945.51,7512213.46,-210.57,99.0,307.0,1.0,1.0,0.0
KV103,3498946.35,7512213.55,-212.38,99.0,141.0,1.0,1.0,0.0
KV103,3498947.19,7512213.63,-214.19,99.0,315.0,1.0,1.0,0.0
KV103,3498948.03,7512213.72,-216.0,99.0,327.0,1.0,1.0,0.0
KV103,3498948.88,7512213.8,-217.81,99.0,285.0,1.0,1.0,0.0
KV103,3498949.72,7512213.88,-219.62,99.0,327.95,1.0,0.77,0.0
KV103,3498951.41,7512214.05,-223.25,99.47,207.0,1.0,2.0,0.0
KV103,3498958.15,7512214.73,-237.74,97.0,242.0,2.0,1.7,0.0
KV103,3498958.99,7512214.81,-239.55,97.0,227.0,2.0,3.0,0.0
KV103,3498959.83,7512214.9,-241.37,97.0,197.0,2.0,3.0,0.0
KV103,3498960.68,7512214.98,-243.18,97.0,224.0,2.0,3.0,0.0
KV103,3498961.52,7512215.07,-244.99,97.0,192.02,2.0,2.06,0.0
KV103,3498965.73,7512215.49,-254.05,91.05,153.5,2.0,3.0,0.0
KV103,3498966.58,7512215.57,-255.86,90.0,132.35,2.0,1.88,0.0
KV103,3498971.65,7512216.0,-266.72,95.0,162.0,1.0,2.0,0.0
KV103,3498972.5,7512216.07,-268.53,95.0,229.13,1.0,1.44,0.0
KV103,3498988.6,7512217.27,-302.93,98.0,875.9,2.65,3.0,0.0
KV103,3498991.15,7512217.4,-308.37,98.0,648.25,1.0,2.0,0.0
KV103,3498991.99,7512217.45,-310.18,98.0,772.25,1.0,1.81,0.0
KV103,3498997.07,7512217.71,-321.04,65.0,494.5,1.0,1.25,0.0
KV103,3498997.92,7512217.75,-322.86,81.68,609.78,1.77,3.55,0.0
KV103,3498998.77,7512217.8,-324.67,94.0,434.0,2.0,4.0,0.0
KV103,3498999.61,7512217.84,-326.48,94.0,234.0,2.0,4.0,0.0
KV103,3499000.46,7512217.88,-328.29,94.0,188.0,2.0,4.0,0.0
KV103,3499001.31,7512217.93,-330.1,93.28,260.65,2.0,2.58,0.0
KV103,3499005.54,7512218.15,-339.16,94.0,582.25,3.0,3.0,0.0
KV103,3499009.78,7512218.36,-348.21,84.0,565.75,3.0,3.5,0.0
KV103,3499010.62,7512218.41,-350.03,96.25,494.92,3.0,3.35,0.0
KV103,3499021.62,7512218.8,-373.58,96.45,305.0,4.0,4.55,0.0
KV103,3499022.46,7512218.82,-375.4,99.0,298.5,4.0,5.0,0.0
KV103,3499023.31,7512218.84,-377.21,99.0,377.5,4.0,5.0,0.0
KV103,3499024.15,7512218.84,-379.02,99.0,337.0,4.0,5.0,0.0
KV103,3499024.99,7512218.84,-380.84,99.0,320.5,4.0,5.0,0.0
KV103,3499025.83,7512218.84,-382.65,99.0,363.5,4.0,5.0,0.0
KV103,3499026.68,7512218.84,-384.46,99.0,426.0,4.0,5.0,0.0
KV103,3499027.52,7512218.84,-386.28,99.0,473.17,4.0,4.78,0.0
KV103,3499045.2,7512218.56,-424.37,86.0,602.15,2.0,2.9,0.0
KV103,3499046.05,7512218.53,-426.19,86.0,1200.0,2.0,3.0,0.0
KV103,3499046.89,7512218.51,-428.0,86.0,832.0,2.0,3.0,0.0
KV104,3498826.78,7512649.63,227.74,45.0,503.5,2.0,2.0,0.0
KV104,3498827.33,7512649.58,225.81,67.8,391.0,2.0,2.0,0.0
KV104,3498827.88,7512649.52,223.89,93.0,344.5,2.0,2.0,0.0
KV104,3498828.43,7512649.47,221.97,93.0,390.0,2.0,2.0,0.0
KV104,3498828.99,7512649.42,220.05,93.0,454.5,2.0,2.0,0.0
KV104,3498829.54,7512649.36,218.13,93.0,556.5,2.0,2.0,0.0
KV104,3498830.09,7512649.31,216.21,93.0,570.0,2.0,2.0,0.0
KV104,3498830.64,7512649.25,214.28,93.0,467.0,2.0,2.0,0.0
KV104,3498831.19,7512649.2,212.36,93.0,407.5,2.0,2.0,0.0
KV104,3498831.73,7512649.13,210.44,95.25,445.5,2.0,2.0,0.0
KV104,3498832.27,7512649.07,208.51,98.0,468.5,2.0,2.0,0.0
KV104,3498832.8,7512649.0,206.59,98.0,478.0,2.0,2.0,0.0
KV104,3498833.34,7512648.93,204.66,98.0,453.0,2.0,2.0,0.0
KV104,3498833.87,7512648.86,202.74,98.0,442.5,2.0,2.0,0.0
KV104,3498834.41,7512648.79,200.81,98.0,439.5,2.0,2.0,0.0
KV104,3498834.94,7512648.72,198.88,98.0,384.0,2.0,2.0,0.0
KV104,3498835.48,7512648.65,196.96,98.0,401.5,2.0,2.0,0.0
KV104,3498836.01,7512648.58,195.03,98.0,421.0,2.0,2.0,0.0
KV104,3498836.55,7512648.51,193.11,95.66,494.14,1.92,2.0,0.0
KV104,3498837.08,7512648.44,191.18,94.0,535.38,1.0,1.61,0.0
KV104,3498844.71,7512647.33,162.19,92.0,195.0,1.0,1.0,0.0
KV104,3498845.22,7512647.26,160.26,92.0,165.0,1.0,1.0,0.0
KV104,3498845.74,7512647.2,158.33,92.0,220.0,1.0,1.0,0.0
KV104,3498846.27,7512647.14,156.4,94.63,252.98,1.0,1.0,0.0
KV104,3498846.79,7512647.08,154.47,97.0,303.5,1.0,1.0,0.0
KV104,3498847.31,7512647.01,152.54,97.0,306.5,1.0,1.0,0.0
KV104,3498870.32,7512644.31,67.64,99.0,666.0,1.0,1.0,0.0
KV104,3498870.84,7512644.25,65.71,99.0,600.0,1.0,1.0,0.0
KV104,3498871.37,7512644.19,63.78,99.0,513.0,1.0,1.0,0.0
KV104,3498871.89,7512644.13,61.85,99.0,556.0,1.0,1.0,0.0
KV104,3498872.41,7512644.06,59.92,99.0,615.5,1.0,1.0,0.0
KV104,3498878.17,7512643.39,38.7,90.2,417.0,1.0,2.0,0.0
KV104,3498878.69,7512643.33,36.77,99.0,410.0,1.0,2.0,0.0
KV104,3498879.21,7512643.27,34.84,99.0,444.0,1.0,2.0,0.0
KV104,3498879.73,7512643.2,32.91,99.0,449.5,1.0,2.0,0.0
KV104,3498881.83,7512642.96,25.19,98.51,717.8,1.0,1.0,0.0
KV104,3498882.35,7512642.9,23.26,98.0,624.5,1.0,1.0,0.0
KV104,3498882.87,7512642.83,21.34,98.0,588.0,1.0,1.0,0.0
KV104,3498883.39,7512642.77,19.41,98.0,639.5,1.0,1.0,0.0
KV104,3498883.92,7512642.71,17.48,98.0,696.5,1.0,1.0,0.0
KV104,3498884.44,7512642.65,15.55,98.0,689.0,1.0,1.0,0.0
KV104,3498888.62,7512642.16,0.11,74.11,1084.5,0.15,0.28,0.0
KV104,3498889.15,7512642.1,-1.82,98.56,649.0,0.3,0.5,0.0
KV104,3498889.67,7512642.04,-3.75,98.56,500.5,0.3,0.5,0.0
KV104,3498891.76,7512641.79,-11.47,98.56,711.25,0.3,0.5,0.0
KV104,3498892.28,7512641.73,-13.39,98.56,468.5,0.3,0.5,0.0
KV104,3498896.51,7512641.44,-28.82,98.56,533.0,0.3,0.7,0.0
