,omega
0,-0.030332042
1,-0.018830996
2,0.022082137
3,0.008027061
4,-0.0038137226
5,0.0051739486
6,-0.01621677
7,0.03004739
8,0.006082986
9,-0.009807098
10,-0.017258842
11,-0.004860062
12,-0.0106135225
13,-0.009339428
14,-0.0005578464
15,-0.01909433
16,0.015233083
17,-0.016384497
18,-0.03626389
19,-0.006539712
20,0.0015639123
21,0.0025191973
22,-0.01750567
23,-0.012904808
24,0.012013477
25,0.005205005
26,0.011045769
27,0.009573848
28,0.010208007
29,0.0071925824
30,-0.01321633
31,-0.004544322
32,0.0039092586
33,0.012426043
34,-0.024069741
35,0.00670825
36,0.0023762065
37,-0.009955831
38,-0.02762327
39,-0.01585327
40,0.017063074
41,-0.0045017865
42,-0.016580798
43,0.0036272693
44,-0.010149306
45,0.008031194
46,-0.005928243
47,0.014023219
48,-0.009910226
49,0.005285673
50,-0.020797286
51,-0.017890986
52,0.0033973497
53,-0.020653596
54,0.00439961
55,-0.008250583
56,0.007539522
57,0.009747047
58,0.009506446
59,0.011645845
60,0.009435878
61,0.019614369
62,-0.014245432
63,-0.0141596515
64,0.012260936
65,-0.0028395639
66,-0.010501916
67,-0.016202342
68,-0.023600386
69,0.006806358
70,0.0028373857
71,0.0070897937
72,0.00276257
73,0.003036214
74,-0.03187978
75,-0.012367465
76,0.00022209156
77,0.021425178
78,0.011768013
79,-0.0018460494
80,-0.00984655
81,0.017104749
82,-0.0053414735
83,0.009545727
84,0.008087792
85,-0.0077983905
86,-0.00034421403
87,0.01568032
88,-0.015981097
89,-0.006990509
90,0.012868496
91,-0.010319302
92,-0.015245375
93,-0.02532378
94,0.017438352
95,-0.0059888167
96,-0.0013055037
97,0.007472486
98,-0.036653083
99,-0.02011127
100,0.0064046727
101,-0.023364726
102,-0.0053992467
103,0.01851212
104,-0.020709474
105,-0.0081085395
106,0.017057262
107,0.0010479587
108,0.008336032
109,0.013355467
110,0.011261336
111,0.0024742559
112,-0.0032026337
113,-0.01655613
114,0.0078028142
115,0.0072784675
116,0.008830054
117,0.016740894
118,-0.01390971
119,0.003151524
120,-0.01677882
121,0.0067639695
122,0.025678996
123,0.0052195415
124,0.006196983
125,0.003999818
126,0.020267632
127,-0.016381642
128,-0.023178302
129,0.015295167
130,0.0108521525
131,-0.0040217126
132,-0.011949032
133,-0.022641473
134,-0.01945296
135,0.007456219
136,0.015707731
137,0.03644381
138,0.017038748
139,-0.0004761836
140,0.010118411
141,-0.007885294
142,0.02229721
143,-0.00903129
144,-0.034002386
145,0.011526721
146,0.017634816
147,-0.0024792468
148,0.0051040384
149,0.004155713
150,0.009663254
151,-0.014121872
152,-0.0062102717
153,0.009598655
154,-0.0029868504
155,0.014920854
156,0.024703104
157,0.018698882
158,0.013096377
159,0.008119852
160,0.0119029265
161,-0.008980839
162,-0.0041175103
163,0.0054622344
164,0.008210678
165,-0.008527769
166,-0.016601654
167,0.004737004
168,-0.0013564387
169,-0.020587122
170,-0.013346856
171,0.008055394
172,-0.008801445
173,-0.01691599
174,0.002980778
175,0.009536613
176,0.012675043
177,-0.019504797
178,-0.018441819
179,-0.016618118
180,-0.00074187014
181,0.013768392
182,-0.00089789135
183,0.0103391595
184,0.007449298
185,0.013877835
186,0.0024877824
187,0.024988402
188,0.0040030833
189,-0.0074677593
190,-0.015706923
191,-0.011286306
192,-0.019554824
193,-0.022003382
194,-0.017236315
195,0.002641859
