,omega
0,0.0036079825
1,-0.016290188
2,-0.0011106203
3,0.0020215795
4,-0.016085377
5,0.004394144
6,-0.0049576797
7,0.024397748
8,-0.0071507646
9,-0.017287716
10,-0.0133433025
11,0.0025552856
12,-0.016734004
13,-0.01863029
14,0.00010786473
15,-0.017772144
16,0.0057838364
17,-0.009387217
18,-0.008874847
19,-0.015743412
20,0.07665156
21,0.020959327
22,-0.016866492
23,-0.008689898
24,0.0021896195
25,0.014466511
26,0.016062943
27,0.009135608
28,0.014308917
29,0.014425055
30,-0.023796933
31,-0.013373913
32,0.0013260443
33,0.0017871212
34,-0.001380607
35,0.01144019
36,0.01449054
37,-0.009611841
38,-0.013724273
39,-0.0061424756
40,0.0017800422
41,-0.014626833
42,-0.0088685565
43,0.0010951997
44,0.10263189
45,0.0016727166
46,-0.015441762
47,9.754649e-05
48,-0.00902164
49,0.010446843
50,0.002437816
51,-0.0082865385
52,0.014570587
53,-0.010318289
54,0.012335147
55,-0.015181163
56,0.019885797
57,0.025434908
58,0.022992788
59,0.007620467
60,0.00363947
61,-0.00012315158
62,-0.023757698
63,-0.014050544
64,0.0034638813
65,-0.008208739
66,-0.015502697
67,-0.020959906
68,-0.0064416244
69,0.019426703
70,0.006593884
71,0.0010887564
72,0.0014288491
73,0.014415142
74,-0.0032725558
75,-0.01964014
76,0.0023127124
77,0.019529259
78,0.010956356
79,0.0023611088
80,-0.007479926
81,-0.0034824489
82,0.0031170065
83,0.019658118
84,0.016015291
85,-0.00024515117
86,-0.016464878
87,0.015623417
88,-0.019270949
89,-0.0010421136
90,0.006321067
91,-0.0032820948
92,-0.017430201
93,-0.006368609
94,0.019129837
95,-0.0028731138
96,-0.0033583678
97,0.015367908
98,-0.018717656
99,-0.014244083
100,0.019384913
101,-0.023543904
102,0.0036212245
103,0.00078488444
104,-0.010787586
105,-0.009758648
106,0.0062111216
107,0.00030865218
108,0.0045617577
109,0.021739872
110,0.0784765
111,-0.016371086
112,0.011302615
113,-0.009034409
114,0.0075269016
115,0.01346258
116,0.0035005605
117,0.011239824
118,-0.017890962
119,0.014230086
120,-0.015633894
121,0.0015871376
122,0.0122079365
123,0.001754069
124,0.012085595
125,0.0008910566
126,0.0087284185
127,-0.009042724
128,0.044466563
129,0.02107576
130,0.046806425
131,-0.014384001
132,-0.016510818
133,-0.019206138
134,-0.021870784
135,0.012059293
136,0.0021599699
137,-0.0009988968
138,-0.0013957401
139,-0.008339349
140,0.0002504827
141,-0.01447241
142,0.019771468
143,-0.01816639
144,0.0041306904
145,0.021349056
146,0.019210396
147,0.0017599505
148,-0.0012749856
149,0.0024351643
150,-0.0029458934
151,0.020038852
152,0.024339493
153,0.0018639422
154,-0.015712038
155,0.0015486225
156,0.012075657
157,0.019579433
158,0.02175568
159,0.0026521247
160,0.01686272
161,-0.016318318
162,-0.0077987285
163,0.022705209
164,0.027120601
165,0.016020328
166,-0.01539096
167,0.0052531566
168,-0.00011215219
169,-0.016655829
170,-0.017744526
171,-0.00025651604
172,-0.0035627142
173,-0.0070329923
174,0.040465068
175,0.011608425
176,0.0052607264
177,-0.0023103573
178,-0.016176485
