,omega
0,0.012203785
1,0.0016504768
2,0.016284304
3,0.0021669003
4,0.085097075
5,0.008441873
6,0.015455387
7,-0.010727714
8,-0.014224646
9,0.017025754
10,0.015025553
11,-0.013518522
12,0.0056963093
13,0.0056189895
14,-0.003824977
15,-0.0051609576
16,0.011769387
17,-0.039626278
18,-0.054054353
19,-0.011342313
20,-0.028994005
21,-0.0009116976
22,0.008579791
23,-0.0007641632
24,-0.005173439
25,-0.006224673
26,-0.025467422
27,-0.017028756
28,-0.016298957
29,0.0076395427
30,-0.013040524
31,0.02082809
32,0.0059451694
33,0.006828348
34,-0.036594603
35,0.0014698172
36,0.011781941
37,0.014880105
38,-0.0062056594
39,-0.018565338
40,0.004553396
41,0.00673866
42,-0.032000706
43,-0.014396881
44,-0.02209213
45,0.013452856
46,0.004576076
47,-0.019368479
48,0.014709711
49,-0.019883905
50,-0.016042005
51,0.015258323
52,-0.008875655
53,0.0017306083
54,-0.011946287
55,0.012760516
56,0.024015838
57,0.0116985515
58,0.0120337
59,-0.018436948
60,-0.017150017
61,0.014400119
62,0.012812082
63,-0.006524441
64,-0.016159799
65,-0.027924927
66,0.014655306
67,-0.009079982
68,0.015932461
69,0.013089606
70,-0.0024536967
71,0.0061508194
72,0.005527148
73,0.032123238
74,-0.0075689536
75,0.011944849
76,-0.006888319
77,-0.01791982
78,-0.0050549544
79,-0.00971662
80,0.008354121
81,-0.0211226
82,-0.024472004
83,0.006489305
84,0.007073015
85,-0.012270643
86,0.009468501
87,0.018069401
88,-0.030052984
89,0.013908174
90,0.010153661
91,0.017676935
92,0.017857064
93,-0.017141875
94,0.0058937403
95,0.0061292564
96,-0.001263598
97,0.009585222
98,0.00714035
99,-0.0026448763
100,-0.014260923
101,0.0059282854
102,-0.03383765
103,-0.004056031
104,0.004282896
105,-0.015397332
106,-0.026986275
107,0.008170551
108,-0.006808753
109,0.010415879
110,-0.018200928
111,-0.0004870447
112,0.024404678
113,0.009492296
114,0.01315133
115,0.010216871
116,-0.03407576
117,-0.036099494
118,-0.005731796
119,-0.00033746124
120,0.023371598
121,0.010260491
122,-0.021102458
123,-0.012732272
124,-0.014101883
125,-0.009141081
126,-0.02125858
127,0.012199368
128,0.004663535
129,3.4173427e-05
130,-0.03538524
131,-0.020004194
132,0.016347758
133,0.012259483
134,0.003365498
135,0.008108271
136,-0.0016492743
137,0.01905074
138,-0.02678262
