,omega
0,0.0024946625
1,0.0044128983
2,0.0017308674
3,0.01865279
4,0.006994607
5,0.026321255
6,0.016085424
7,0.0075257546
8,-0.003298393
9,0.01499136
10,0.013753584
11,-0.011109991
12,0.0026386094
13,0.005716635
14,0.0112507325
15,0.0030099764
16,0.023178212
17,-0.039827358
18,-0.026294556
19,-0.008087763
20,-0.005974978
21,0.005552072
22,0.0070538633
23,0.0024302884
24,-0.009535538
25,0.012410913
26,-0.00028029678
27,-0.009658929
28,-0.034191284
29,0.015644604
30,-0.014231132
31,0.008252327
32,0.010147793
33,0.016079769
34,-0.026382137
35,-0.010255301
36,0.01042683
37,0.026604572
38,0.010908289
39,-0.01424269
40,-0.000503937
41,0.009829905
42,-0.024500754
43,0.008478702
44,-0.0009747293
45,0.015842654
46,0.007385226
47,-0.010181607
48,0.009099615
49,-0.013051233
50,-0.0130060725
51,0.013028736
52,0.0025446785
53,0.0056729973
54,-0.007794449
55,0.011381863
56,0.012815766
57,0.0066847466
58,0.014692131
59,-0.016409785
60,-0.011643147
61,0.009121123
62,-0.020276744
63,0.0006519016
64,-0.010021156
65,-0.022923956
66,0.016626904
67,-0.014348539
68,0.01109989
69,0.018010015
70,-0.009242545
71,0.013622502
72,0.020011598
73,-0.015921742
74,-0.013535246
75,0.010260817
76,0.0043055895
77,-0.019793227
78,-0.011209223
79,0.014306104
80,0.014623422
81,-0.009720273
82,0.0018515376
83,0.0149456905
84,0.0064947614
85,-0.027025072
86,0.005121641
87,0.02190466
88,-0.018105382
89,0.022059767
90,-0.014628398
91,0.02338032
92,0.018111188
93,-0.0033666901
94,0.011342912
95,-0.012970036
96,-0.012789665
97,0.00429238
98,0.0113733085
99,0.00064805325
100,0.009914491
101,-0.021868844
102,-0.0196709
103,-0.007244438
104,0.003906446
105,0.0038844147
106,-0.01642718
107,0.008656267
108,-0.008781377
109,0.01372379
110,-0.054762136
111,-0.0026352326
112,0.023163227
113,0.0059096124
114,0.012090102
115,0.020170096
116,-0.027885266
117,-0.020074423
118,0.0015925632
119,0.009945724
120,0.020148152
121,0.0049140775
122,-0.013329349
123,-0.011063669
124,-0.0137596615
125,0.0019692509
126,-0.017605068
127,0.017811647
128,0.006423389
129,-0.012793594
130,-0.04463504
131,-0.023352437
132,0.013899445
133,0.0119638685
134,0.008420565
135,0.010614276
136,0.007101069
137,-0.03571016
138,-0.000763923
139,-0.015068071
140,0.0035749776
141,0.015518562
142,-0.011762817
143,0.015830725
144,-0.0097755715
145,-0.014080481
146,-0.019291807
147,0.0043790415
148,-0.0008806118
149,0.012712419
150,-0.009825004
151,-0.0067406083
152,0.011684505
153,0.01701175
154,0.0040321443
155,-0.008021133
156,-0.012005512
157,0.0047752317
158,-0.0025056393
159,0.01232024
160,0.013817995
161,0.000760369
162,0.015733434
163,-0.014337051
164,-0.021520372
165,-0.0070503284
166,0.0041037304
167,0.029359082
168,0.011911893
169,-5.230721e-05
170,0.0053199236
171,-0.022528328
172,-0.01502851
173,-0.0021307382
174,-0.025448136
175,0.0073388373
176,-0.01071687
177,-0.009097477
178,-0.010890388
179,0.010491447
180,0.016918864
181,0.013821306
182,-0.007175256
183,-0.006689729
184,0.03449191
185,-0.00040376117
186,0.00341201
187,0.01474856
188,0.006064591
189,-0.014997336
190,-0.008419256
191,-0.00016320683
192,-0.02935058
193,0.0064273947
194,0.009601876
195,0.013579611
196,0.0045591127
197,-0.0030909618
198,0.0010130962
199,0.00077392603
200,-0.019027973
201,-0.013903989
202,-0.015258687
203,0.0152803175
204,-0.010987272
205,-0.006543348
206,0.028620386
207,-0.010418382
208,-0.013903384
209,0.014552146
210,-0.011612982
211,-0.004190687
212,0.019838396
213,0.007996802
214,0.013896109
215,0.020291384
