,omega
0,0.00492405
1,-0.010386796
2,0.011645261
3,0.0067042154
4,-0.0017076563
5,-0.0027546096
6,-0.0022221897
7,0.0008542145
8,-0.012954275
9,-1.7356593e-05
10,0.00057526305
11,0.005124492
12,-0.011676071
13,-0.00064129336
14,0.007153768
15,-0.0036841664
16,0.0070425346
17,-0.006768752
18,0.0006954968
19,-0.015043383
20,0.018940242
21,-0.005455833
22,-0.0051817675
23,-0.00923934
24,-0.011558678
25,0.004784607
26,0.021182826
27,0.008168413
28,0.0064567644
29,0.009649078
30,-0.004482732
31,-0.000306766
32,-0.004124848
33,0.0036785486
34,-0.0019142278
35,-0.013484021
36,-0.0024462
37,-0.002529244
38,0.007828657
39,-0.011777139
40,-0.015695306
41,-0.0008939621
42,0.01259874
43,0.0052442807
44,-0.007836314
45,0.001163211
46,-0.00020743255
47,0.008777805
48,-0.003794921
49,0.012435943
50,0.0060134763
51,0.005556795
52,-0.0010715183
53,-0.006188673
54,-0.023591507
55,0.00235056
56,0.017989306
57,-0.0038769331
58,-0.0087344255
59,-9.003235e-05
60,-0.010642135
61,0.0020498608
62,-0.019780308
63,-0.004941849
64,0.013330985
65,0.007846469
66,-0.012810287
67,-0.0076196715
68,-0.0038499716
69,0.0034283253
70,0.01537514
71,0.013780138
72,-0.008004606
73,0.005362485
74,-0.016395662
75,-0.0053291153
76,0.008577159
77,-0.005782648
78,-0.0016852673
79,0.004072218
80,-0.0069124177
81,0.026527451
82,-0.0030679917
83,0.018015107
84,0.006430066
85,-0.005161295
86,-0.00059766945
87,-0.0009211211
88,-0.0032331361
89,-0.004667107
90,-0.0053855907
91,0.0015871392
92,-0.010167984
93,-0.036075085
94,-0.00038780936
95,0.0016092426
96,-0.011073286
97,-0.0008299928
98,-0.021341491
99,0.005065352
100,-0.016963832
101,-0.023234796
102,0.0055944505
103,0.0048017707
104,-0.012826615
105,0.006322217
106,-0.0077084387
107,0.018887412
108,0.0069280313
109,0.010630299
110,0.0028498718
111,0.0032801349
112,-0.002156724
113,-0.0057576043
114,0.0042070732
115,0.0029209673
116,0.003202635
117,-0.014105332
118,-0.0072645145
119,-7.4268435e-05
120,-0.010046385
121,-0.0052156937
122,0.0055775847
123,0.0039037834
124,0.005491661
125,0.008337437
126,-0.005962266
127,-0.007502138
128,-0.017052656
129,0.004743601
130,0.011328591
131,0.0003488846
132,-0.007317585
133,0.0024949848
134,-0.011710714
135,0.0164189
136,0.0034105794
137,0.012334831
138,0.018839817
139,0.004982034
140,0.0030570384
141,-0.008228421
142,0.008965865
143,-0.006215805
144,0.013463109
145,-0.002970533
146,0.0035534003
147,0.0121633215
148,0.014540099
149,0.010135813
150,0.020774994
151,0.013589982
152,0.0053359745
153,0.008186724
154,0.00088227505
155,0.0033839908
156,-0.016178804
157,0.0024730973
158,-0.0020291447
159,0.0029653576
160,0.0065482906
161,-0.008760682
162,-0.011388566
163,-0.011674451
164,-0.015126126
165,0.010125902
166,-0.01476063
167,0.007778687
168,-0.0002281759
169,0.007050514
170,-0.011618839
171,0.007940629
172,-0.008092783
173,-0.0054786894
174,-0.007280066
175,0.0046562157
176,0.012098661
177,-0.014046498
178,-0.012710586
179,0.0010353685
180,0.0054820497
181,-0.001875493
182,-0.00858916
183,0.013051277
184,0.0002770489
185,0.017905708
186,0.01245109
187,-0.008264322
188,0.0076540206
189,0.011414698
190,-0.0058779065
191,-0.0027609663
192,-0.002405913
193,-0.00763945
194,-0.0059057646
195,0.010187752
196,0.008136709
197,-0.0046366146
198,0.010004242
199,-0.0049438225
200,0.002469228
201,-0.0065469053
202,0.010869818
203,0.017630804
204,-0.0006113581
205,0.004015917
206,0.0075353067
207,0.0005814842
208,0.007593333
209,0.0012697156
210,0.013533864
211,-0.0312243
212,-0.005719457
213,-0.002628306
214,-0.0005657058
215,0.001842258
216,-0.008408074
217,0.007352973
218,4.4751912e-05
219,0.0030889772
220,-0.012525674
221,0.0030053426
222,0.007785122
223,0.010804354
224,-0.0044435663
225,-0.00810145
226,-0.009190353
227,0.012494846
228,-0.009966938
229,-0.006449251
230,-0.0016972676
231,-0.010007479
232,0.013262626
233,0.002831771
234,-0.0017886739
235,0.014770845
236,-0.004497256
237,-0.008842988
238,-0.011153102
239,-0.0010954514
240,-0.014244965
241,0.002780217
242,-0.013344816
243,-0.011009315
244,0.012628618
245,0.00022904226
