,omega
0,-0.005350654
1,-0.007995546
2,-0.0012831185
3,0.0005457222
4,0.008161778
5,0.0017766162
6,-0.007051604
7,-0.0063327407
8,-0.0037320876
9,-0.004502319
10,0.0006766061
11,0.011993865
12,-0.009975492
13,0.000752895
14,0.0046385564
15,-0.000108910026
16,0.0029358189
17,-0.005246927
18,-0.003906665
19,-0.006436188
20,0.005469988
21,-0.014846979
22,0.0013295328
23,-0.011849409
24,-0.012861193
25,0.0022184944
26,-0.0048325714
27,-0.0087257605
28,0.00064409187
29,-0.0032330537
30,0.0004232235
31,-0.00061319093
32,0.003940377
33,0.0029385563
34,-0.007178742
35,0.00018996908
36,-0.0017354148
37,0.0031201453
38,0.0016330169
39,-0.012579875
40,-0.0006427738
41,-3.7712278e-05
42,-0.003839209
43,0.007544459
44,0.018845808
45,0.0025462536
46,-0.00037433463
47,0.0052427063
48,-0.010757785
49,0.0031244322
50,-0.004990194
51,-0.018259004
52,-0.004750655
53,-0.011485172
54,-0.0072283745
55,-0.0014665201
56,0.0016209013
57,-0.008160389
58,-0.006876275
59,-0.0069730617
60,0.0022071325
61,0.0015054045
62,-0.01587177
63,-0.0027187546
64,0.004572876
65,0.009807972
66,-0.00937821
67,-0.008809999
68,-0.0065964116
69,-0.0018832273
70,0.0047182757
71,0.0017278392
72,0.00020261225
73,-0.0006217873
74,-0.010299817
75,-0.010809086
76,-0.00034531532
77,-0.0033589276
78,0.0015613122
79,0.0012193241
80,-0.013758376
81,0.0034615574
82,0.008135165
83,0.007154071
84,-0.0031506442
85,-0.004217604
86,0.0022155903
87,0.00061285985
88,-0.0030225848
89,-0.007448639
90,0.0041060406
91,-0.0018407064
92,-0.012734387
93,-0.0034071063
94,-0.012118585
95,0.0047248374
96,-0.010570067
97,-0.0044755912
98,-0.008980968
99,-0.0040355097
100,-0.016269766
101,-0.016304765
102,0.0016594308
103,-0.008433934
104,-0.016190864
105,0.0072464123
106,0.0015120807
107,0.001499829
108,0.0017601668
109,-0.0016140076
110,0.018020324
111,0.003948106
112,-0.021073394
113,-0.0048796996
114,-0.00016987324
115,-0.0024955247
116,0.004175933
117,-0.00093134004
118,-0.008482951
119,-0.0026838724
120,-0.0069320123
121,-0.007133319
122,0.0013538105
123,0.0052354233
124,0.0013748226
125,0.0030230235
126,-0.0042135143
127,-0.012798558
128,-0.027054282
129,-0.010095924
130,0.010703605
131,-0.010521843
132,-0.0022543496
133,-0.005064588
134,-0.0010300283
135,-0.0020872483
136,0.0041288696
137,0.004768704
138,0.002323827
139,-0.004351015
140,0.0017798203
141,3.2594893e-05
142,-0.0071924916
143,-0.0032988752
144,-0.012663761
145,-0.006273899
146,-0.0016794086
147,-0.002668222
148,0.0019139227
149,0.00089031947
150,0.008047584
151,0.00020476338
152,-0.00055695116
153,0.00029462646
154,0.007871396
155,-0.004470843
156,-0.0002614885
157,-0.0025909543
158,-0.012070541
159,0.0014915029
160,-0.003389636
161,-0.01004573
162,0.0068180007
163,-0.008537689
164,-0.010514738
165,-0.0025392417
166,0.007610028
167,0.0037567797
168,-0.0018503857
169,0.00064227846
170,-0.008139529
171,0.0016922426
172,-0.0050571077
173,-0.012290146
174,0.0026699048
175,0.0006740049
176,-0.002436088
177,-0.018475773
178,-0.010212111
179,-0.0015457773
180,0.003275858
181,-0.001994459
182,-0.010769027
183,0.0024824736
184,0.006590278
185,0.0008393959
186,-0.010175581
187,-0.011013732
188,0.0024901505
189,0.0101161115
190,-0.010655699
191,-0.0121185165
192,-0.0062963143
193,-0.00643918
194,-0.010882652
195,0.00079248915
196,-0.0023201085
197,-0.012750851
198,-0.0021165526
199,-0.0017521989
200,-0.00068896136
201,-0.005470603
202,0.008143674
203,0.0069531626
204,-0.0060119703
205,0.00021703029
206,-0.0013600453
207,0.0034336892
208,0.0021586607
209,0.00085022533
210,0.007193584
211,-0.0036157253
212,-0.008523691
213,-0.0051089595
214,-0.0004161978
215,-0.0025073648
216,-0.013231663
217,0.0034759326
218,0.00072677433
219,-0.0021398808
220,-0.0011061173
221,-0.009747319
222,0.0029969704
223,0.0005642662
224,-0.008991952
225,-0.008517956
226,-0.0109750535
227,-0.0013453206
228,0.006688333
229,-0.010812251
230,0.008352533
231,-0.0043859817
232,0.008297611
233,-0.0010199379
234,-0.005552701
235,0.008630105
236,-0.012242626
237,0.003943286
238,-0.0068031657
239,0.00018002302
240,-0.016845845
241,-0.0021450259
242,-0.00738657
243,-0.013730776
244,0.003815665
245,-0.018439703
246,-0.013192173
247,0.0020631894
248,0.0026170998
249,-0.0100113
250,-0.0011589804
251,0.0016170982
252,0.00093937165
253,0.003873727
254,0.017732808
255,0.0022366636
256,0.00021022232
257,0.0026891148
258,-0.0037580137
259,-0.010343077
260,-0.0003006449
261,-0.005703056
262,-0.0060258536
263,-0.0279436
264,-0.0040830295
265,-0.0023714842
266,0.0020756184
267,0.0011823401
268,-0.0015956017
269,-0.0074486285
270,-0.0028396717
271,-0.009497935
272,-0.010090046
273,0.0011189488
274,-0.019286
275,-0.012661101
