,omega
0,0.001580409
1,-0.00202561
2,0.012449273
3,-0.0028087927
4,-0.0008060625
5,-0.0036983383
6,0.0071339095
7,-0.0102866925
8,0.00010622491
9,0.0031707268
10,0.0014524049
11,0.024920389
12,0.0071801427
13,0.003967175
14,-0.00014815433
15,-0.01302876
16,0.0028462163
17,0.007736563
18,-0.016327482
19,0.013537638
20,-0.0091659315
21,0.026689295
22,0.002338385
23,-0.0013591569
24,-0.0048011765
25,-0.011469271
26,0.0050237747
27,-0.001178104
28,0.008986014
29,-0.0010835994
30,-0.0019210333
31,0.0052620955
32,-0.013214933
33,-0.004379385
34,0.0030467107
35,-0.0133638345
36,0.0063335374
37,-0.0039424906
38,0.009434199
39,0.00031476608
40,0.005518952
41,0.0017829419
42,0.0058805076
43,0.0011303857
44,0.013183181
45,-0.009968435
46,0.0049797464
47,-0.008300202
48,0.01155319
49,-0.0046091825
50,0.0057190186
51,0.011976881
52,-0.0018356304
53,0.002396726
54,-0.015019004
55,0.0025194348
56,0.0010035615
57,0.005327288
58,0.002125
59,-0.0016484495
60,-0.0042439797
61,0.00087742123
62,-0.014817823
63,0.00013851374
64,-0.013333847
65,0.008819562
66,0.0015860433
67,0.011962708
68,0.00032441397
69,-0.008677661
70,0.00949418
71,0.0096699
72,-0.004857988
73,-0.0034230626
74,-0.004703773
75,1.843297e-05
76,-0.0011743531
77,-0.0016261177
78,0.0013182967
79,-0.0017061522
80,-0.0016708313
81,-0.048740804
82,-0.00066700263
83,-0.00345338
84,0.0010574318
85,0.005179794
86,0.01267406
87,-0.00012234878
88,0.008830412
89,-0.00018489407
90,0.004008702
91,0.006640559
92,-0.001932611
93,0.005348134
94,-0.015077385
95,0.0004585548
96,-0.002281271
97,0.00055880053
98,0.001311929
99,-0.0029659038
100,0.0026374697
101,-0.0022830537
102,-0.0007079055
103,0.0035181916
104,0.0012880187
105,8.143415e-05
106,-0.0039115646
107,-0.0032340696
108,0.003064734
109,0.0011575199
110,-3.2923417e-06
111,-0.0063037653
112,0.0059058014
113,0.002024063
114,0.00014681777
115,-0.00074797816
116,-0.010541988
