,omega
0,0.007868443
1,0.0029518176
2,-0.0066618505
3,-0.0025146073
4,0.0663781
5,0.001204487
6,-0.001380114
7,0.009217781
8,0.002534254
9,-0.0009064387
10,0.0007153135
11,0.05970095
12,0.0021774892
13,0.0017356804
14,0.0012301349
15,0.0018264829
16,8.7342545e-05
17,-0.00082457403
18,0.0023564338
19,0.0026816004
20,0.0035585614
21,0.011788953
22,0.0011991482
23,0.003321156
24,0.003669196
25,0.0013698863
26,0.0062655
27,-0.0010761184
28,-0.0011406837
29,0.0015425748
30,-0.0002598752
31,0.0004427662
32,0.0019851592
33,0.00037734283
34,0.0016074121
35,0.0022788339
36,-0.00074943947
37,0.013284707
38,0.0059900205
39,0.001855377
40,-6.1307335e-05
41,0.0022481305
42,0.0021988854
43,0.0015852653
44,0.004139575
45,0.001424085
46,0.0009393211
47,-0.0023434558
48,0.0003908107
49,0.00041870368
50,0.0009729903
51,0.003428923
52,-0.008020729
53,0.0014856941
54,0.0028030889
55,0.0017405982
56,0.0043517607
57,0.004121613
58,0.0024759513
59,-0.0010959175
60,0.0003198531
61,-0.00037278477
62,-0.0009411505
63,-0.001463995
64,0.0007784356
65,0.051590323
66,0.0017500938
67,0.0014278726
68,0.0032130298
69,0.0020253025
70,0.0020153357
71,0.0025658559
72,-0.0027404104
73,-0.004008134
74,-0.0010894771
75,-0.0019747932
76,-0.012687447
77,0.0013616891
78,0.002830363
79,0.00021722008
80,0.0008987001
81,-0.010175109
82,0.0070477077
83,0.0025219184
84,0.0008508947
85,0.0025776832
86,0.0012156592
87,0.0015246893
88,-0.00063703966
89,0.0021675453
90,0.0012906555
91,-0.00021347075
92,0.0012141159
93,0.0024274178
94,0.00534137
95,0.001673421
96,-0.0012675457
97,0.001232506
98,0.002050359
99,0.0021002833
100,0.010637444
101,-0.0010030945
102,0.002912054
103,-0.0032134491
104,-0.0016238611
105,0.0054208506
106,0.0017335877
107,0.0011082498
108,0.0005525795
109,0.0027290138
110,0.0012375735
111,0.004277162
112,0.00795951
113,0.0005969838
114,-0.0029203678
115,-0.00031322084
116,0.00045102838
117,0.0034660406
118,0.0020479506
119,0.0050470755
120,0.0006956281
121,-0.00387412
122,0.00041585814
123,-0.00025104673
124,0.00043306945
125,-0.002653855
126,0.0008897283
127,0.0006808076
128,0.008300811
129,0.0010151356
130,0.00827388
131,-0.0023397242
132,0.0037924435
133,0.00036810906
134,0.00032282676
135,-0.00020320718
136,6.199445e-05
137,0.070264526
138,-0.0025798457
139,0.036668025
140,-0.010101808
141,0.0026685153
142,-0.00026565255
143,0.004165082
144,0.0055821543
145,0.00020465287
146,0.0030156004
147,0.001257788
148,-0.009699806
149,-0.0010481024
150,-0.015215805
151,0.0333696
152,0.009319755
153,-0.0008399293
154,0.06606355
155,-0.0011814268
156,0.0028033403
157,0.0040327925
158,0.003007889
159,-0.0068632877
160,0.0019063643
161,0.0017315646
162,0.067235
163,-0.0010939465
164,0.0017686329
165,0.0060590166
166,0.06611075
167,0.007257095
168,0.00073657755
169,0.0016213487
170,0.0016197759
171,-0.005197207
172,0.003872703
173,0.0012936607
174,0.0107775
175,-0.0016416127
176,-0.0014692402
177,0.002568202
178,0.0001591829
179,0.0010655405
180,0.001072219
181,0.001999215
182,0.0016927306
183,0.0023646792
184,0.0017359491
185,0.0040324396
186,0.0019837944
187,-0.00036517193
188,-0.009788616
189,0.054982167
190,5.643806e-05
191,0.001188611
192,0.002232092
193,-0.003903282
194,0.0006538058
195,0.00029264545
196,0.0011027794
197,0.00084634847
198,-0.0018301478
199,0.00041647532
200,-0.0006295367
201,-0.0016699882
202,0.0040903585
203,0.005708177
204,0.0030525322
205,-0.0040387646
206,0.004031374
207,-0.0014042433
208,-0.00068405626
209,-0.0034736318
210,-0.0008743171
211,0.0020258497
212,0.0045820675
213,-0.0023739163
214,0.0048316154
215,0.002951861
216,-0.0006030027
217,-0.0002496977
218,-0.0022180201
219,0.0055343434
220,-0.0024934472
221,0.0034321789
222,-0.0008255878
223,0.0029610218
224,0.002992179
225,-0.00023502906
226,0.004453007
227,8.592164e-05
228,0.0064140535
229,0.0008566347
230,0.06854479
231,0.0033331777
232,-0.015125504
233,0.0042319265
234,-0.0010746766
235,0.0057043754
236,-0.0010416876
237,0.0018819325
238,0.0015129476
239,-0.0028412433
240,0.0043038735
241,0.0010983644
242,0.0033487992
243,0.003857185
244,0.0011981745
245,0.011699093
246,-0.0013885465
247,-0.00052838976
248,-0.005452397
249,0.0048663905
250,0.0050994456
251,0.0010444213
252,0.0026318762
253,-0.0012922947
254,-0.0012055208
255,-0.010244785
256,0.00029863245
257,0.0016642337
258,-0.0014240971
259,0.00032795002
260,0.058708802
261,0.0010920578
262,0.0011321589
263,0.002162812
264,0.0027207292
265,0.01052325
266,-0.0012020104
267,-0.0015024157
268,0.002539457
269,-0.0017919898
270,-0.0001238973
271,0.0028062451
272,0.002418536
273,0.0005726537
274,0.01238415
275,0.0021600688
276,0.00925709
277,0.0007073601
278,-0.00072316616
279,0.025256831
280,-0.011769681
281,0.0011350786
282,-0.0001332782
283,-0.003441899
284,0.01171658
285,-0.0003564989
286,0.008317237
287,-0.0028248653
288,0.0043530487
289,-0.0011373478
290,0.004171253
291,0.0010680924
292,0.00072958274
293,0.0042054756
294,0.005933901
295,0.011961044
296,-0.0013416307
297,-0.0011793054
298,-0.0014460854
299,0.004214135
300,-0.0002708595
301,0.00020563751
302,0.003577043
303,0.0017881292
304,0.0016206341
305,0.005044883
306,0.007956255
307,0.0023400772
308,-0.00083267933
309,-0.0017892044
310,-0.00025816946
311,-0.003142171
312,-0.002367028
313,0.003947996
314,-0.0012515999
315,0.0009837677
316,0.004795854
317,0.0047180345
318,0.00077934866
319,0.0027149208
320,0.002044142
321,0.0010239476
322,0.0017879546
323,-0.0019309251
324,0.007641777
325,-0.011080423
326,-0.002076585
327,0.0047737285
328,0.002183167
329,-0.011169575
330,0.0018827008
331,0.0017662529
332,0.0019422538
333,0.0069763307
334,0.0031775103
335,0.02593572
336,0.0019925635
337,-0.0009358213
338,-0.00278895
339,0.0006222527
340,0.0025313746
341,0.0002720304
342,0.0017239099
343,-0.0002982842
344,1.0261516e-05
345,0.003700293
346,-0.0014966613
347,-0.0015139133
348,0.014729992
349,-0.000419067
350,0.00015217645
351,-0.011210121
352,-0.0008165912
353,-0.00058169605
354,0.0025735674
355,-0.0002663891
356,0.00015176038
357,-0.0009814778
358,-0.0003380334
359,0.0016582574
360,0.004195529
361,0.0008814216
362,0.0010334608
363,0.0018844312
364,0.0590276
365,0.0026921642
366,0.0060987226
367,0.0011008964
368,-0.0022278845
369,-0.008711055
370,0.0024873232
371,0.00043816122
372,0.0006250829
373,0.00092670077
374,0.0033791508
375,0.0012797918
376,-0.0021413546
377,0.0051764157
378,0.0059927497
379,0.0026787494
380,0.0018629382
381,0.001338158
382,0.005876324
383,0.0007585919
384,0.0015180897
385,-0.0013438436
386,-0.000354752
387,-0.0033472583
388,-0.000528955
389,0.0007378191
390,0.00091541966
391,0.00034489032
392,0.00051290996
393,0.0013461998
394,-0.00093025155
395,0.0016806527
396,-0.0015184685
397,-5.4390024e-05
398,-0.0014137689
399,-0.0012942945
400,-0.0011093988
401,0.0007956716
402,0.0027646043
403,0.0020402328
404,-0.0014860424
405,0.002073646
406,0.0012528857
407,-0.0014854049
408,0.0012874564
409,0.007307928
410,0.0029254358
411,-0.00762539
412,0.0013992434
413,0.0030141922
414,-0.0034095412
415,0.009894868
416,-0.00074400834
417,0.0016861042
418,0.0015227512
419,0.0025304172
420,-0.0013070122
421,0.0003955646
422,-0.038246308
423,-0.0019086393
424,0.0031737445
425,0.0035725923
426,-0.010769824
427,0.0024554362
428,-0.001089782
429,0.003614629
430,-0.0025019504
431,0.0019377411
432,-0.002593147
433,-0.0029912158
434,0.0010772814
435,-0.03881239
436,0.004653286
437,0.0034945377
438,0.004400386
439,0.035742886
440,0.003981646
441,0.0036931105
442,0.06838492
443,0.00031319595
444,0.0019148543
445,0.0034524647
446,0.0026704387
447,-0.0047567682
448,-0.03146963
449,-0.006817518
450,-0.00019791874
451,-0.002759041
452,0.0029828656
453,0.0033616913
454,0.00013787593
455,0.0008067854
456,-0.0010391952
457,0.0011123955
458,0.0004278655
459,-0.0030160013
460,0.0023672872
461,-0.002522812
462,0.00080875854
463,0.00027065896
464,0.00020910954
465,0.0006846102
466,0.0006445263
467,-0.0013851579
468,-0.002172458
469,0.009215054
470,-0.0021138184
471,0.0019850552
472,0.001640757
473,0.061665058
474,-6.760596e-05
475,-0.00058890856
476,0.00041687387
477,0.0016394207
478,-0.0018464641
479,-0.00031639962
480,-0.0011451511
481,0.00030861716
482,0.00023393796
483,0.0014543481
484,-0.0026943332
485,-0.0005270173
486,0.06976275
487,0.0008688414
488,0.001006402
489,0.0016418303
490,-0.0010653028
491,0.0014009211
492,0.008163512
493,0.0029867447
494,-0.00027410357
495,0.0005894726
496,-0.0010100569
497,0.000867286
498,-0.00022198076
499,-0.0011888883
500,0.0023920226
501,0.05380029
502,-0.00021385255
503,-0.0005354426
504,-0.0019478522
505,-0.0006859496
506,0.00018397873
507,0.0019771897
508,0.0036313918
509,-8.8648376e-05
510,0.00170989
511,-0.003377747
512,-0.0020276005
513,0.0024610332
514,-0.00037810692
515,0.0011803661
516,0.0003232019
517,-0.00066051475
518,0.068724394
519,0.004222982
520,-0.0009088189
521,0.0004087618
522,-0.005228682
523,0.00084782473
