,omega
0,0.008345321
1,0.008470357
2,0.019944364
3,0.012494771
4,-0.0031636036
5,-0.00031475257
6,0.00604018
7,-0.022154644
8,-0.011902673
9,-0.0029188883
10,0.011556801
11,0.002435253
12,0.0063671684
13,-0.0061307265
14,0.009387538
15,-0.0043096603
16,-0.0010724091
17,-0.0020263735
18,-0.005569054
19,0.006604613
20,0.015970262
21,0.015820993
22,0.00662779
23,-0.0031440305
24,0.0007112345
25,-0.023901617
26,-0.0418395
27,0.0208913
28,0.0059746867
29,0.0032232348
30,0.002156032
31,0.017839206
32,-0.011820465
33,-0.007114541
34,0.0034694253
35,0.008080376
36,-0.0031375708
37,0.02046107
38,-0.026367009
39,-0.0073401527
40,0.013953831
41,-0.015725654
42,-0.021306342
43,-0.0014271532
44,0.01437181
45,0.010680376
46,0.010631918
47,0.0032123646
48,0.015018482
49,0.0076605408
50,0.0106923785
51,0.00314822
52,-0.00080461754
53,0.0025816087
54,-0.02729199
55,-0.002137906
56,0.01317868
57,0.001053812
58,0.00018202909
59,-0.008154631
60,-0.0008833909
61,0.019266678
62,-0.005046915
63,0.005854007
64,-0.002977496
65,-0.014860706
66,0.009516229
67,0.011815372
68,0.005221606
69,0.002120689
70,-0.020380111
71,0.0016655615
72,-0.00064808084
73,0.0055273967
74,-0.0110397525
75,-0.0012462438
76,0.0015755497
77,0.0008441369
78,-0.032454222
79,0.0019560424
80,0.0061672437
81,0.032030456
82,-0.037319373
83,0.0052397884
84,0.008792202
85,0.0055735363
86,-0.00073036377
87,0.01413563
88,-0.013873176
89,-0.012860571
90,-0.0101867365
91,0.0021986149
92,0.010945377
93,-0.013487387
94,0.009184221
95,-0.022330524
96,-0.0035772712
97,-0.0018058872
98,-0.0013867598
99,-0.03273098
100,0.01436511
101,-0.018625384
102,-0.0033726064
103,0.012031885
104,0.00018054145
105,0.0033707018
106,0.00010338542
107,0.008633681
108,0.0057960516
109,0.006035107
110,0.021720933
111,0.005367028
112,0.01545238
113,0.010751181
114,-0.018264435
115,0.004051051
116,-0.018884102
117,0.010372729
118,0.00084189355
119,-0.004331991
120,0.020985352
121,-0.0063099107
122,-0.0084455
123,-0.0026944336
124,0.00431272
125,0.01668732
126,0.0033411195
127,0.00016086898
128,-0.0017011766
129,0.021737749
130,-0.027185213
131,0.0011775906
132,0.007262077
133,-0.010418626
134,-0.00390168
135,0.0050003137
136,-0.014439523
137,-0.01932945
138,0.012767974
139,0.0010901378
140,0.025469238
141,-0.0022589604
142,0.0037058012
143,0.004839134
144,-0.035959844
145,0.00492433
146,0.005592036
147,-0.00031552627
148,0.012559796
149,0.0018278582
150,-0.01693474
151,0.0036071246
152,0.0019290696
153,0.006144308
154,-0.015378474
155,0.00803718
156,0.01043832
157,0.0020784892
158,0.007194445
159,-0.009868769
160,0.0039287927
161,0.011339556
162,-0.016802806
163,0.0029028566
164,0.0083788205
165,-0.023475725
166,-0.005411691
167,-0.0027477825
168,-0.0016715525
169,-0.0045037353
170,-0.0010214063
171,-0.009156987
172,-0.0010453223
173,-0.010658687
174,0.0029191435
175,-0.01385605
176,-0.00991818
177,0.00639482
178,0.0057720044
179,-0.0030712676
180,-0.0077795987
181,0.0071465936
182,0.0036223244
183,0.0046245367
184,-0.007075765
185,0.0031992318
186,5.329668e-05
187,0.012789778
188,-0.018369168
189,-0.02353418
190,0.009862493
191,0.015844125
192,0.009501726
193,0.0010967329
194,0.0031572657
195,-0.0024809125
196,0.008700221
197,0.0055424892
198,-0.030892622
199,-0.023891842
200,0.013286245
201,0.012637722
202,-0.036094032
203,0.0043730587
204,-0.017134476
205,0.0058257375
206,0.011311076
207,-0.002328117
208,-0.017878208
209,-0.009560382
210,-0.0026284647
211,0.003947889
212,0.0049613356
213,0.010626024
214,0.006506019
215,0.0011088265
216,0.004355353
217,0.0006549862
218,-0.006305636
219,-0.0071317367
220,-0.0005508778
221,0.004051635
222,-0.00667449
223,-0.007357469
224,0.0010240393
225,-0.0028601782
226,0.012855691
227,0.0073876423
228,-0.09495293
229,0.011213144
230,0.00901223
231,-0.004050809
232,-0.017764335
233,0.011352301
234,0.008556032
235,-0.01858645
236,0.0005677923
237,0.010659834
238,0.0036283731
239,-0.004401882
240,0.005309911
241,-0.0029112564
242,-0.0046724067
243,-0.0050302725
244,0.0007243579
245,0.012035928
246,0.0066376654
247,-0.0031656702
248,0.006883261
249,0.016207656
250,-0.03834002
251,0.0056667123
252,-0.0053223623
253,0.0020958183
254,-0.023053966
255,0.004727021
256,0.008176392
257,0.00014323532
258,0.003907606
259,0.0070043593
260,-0.018510487
261,0.0024741415
262,-0.0011477456
263,0.017881187
264,0.00057933386
265,0.025308466
266,-0.0051922924
267,-0.013246991
268,-0.008439924
269,0.01255803
270,-0.002993925
271,0.014537577
272,-0.009319074
273,0.001964059
274,0.006321042
275,0.0058716414
276,0.0041684406
277,-0.00039817637
278,0.009606904
279,-0.03455601
280,0.011554729
281,-0.001368482
282,-0.011958449
283,-0.03399921
284,0.0012017176
285,-0.0025365157
286,0.010250526
287,-0.03019055
288,0.002223564
289,0.008445332
290,0.001101119
291,-0.0017805573
292,0.012805312
293,0.00090825604
294,0.020517582
295,0.013353994
296,0.0037913541
297,-0.037628964
298,-0.015086339
299,-0.0010072631
300,0.0052305786
301,0.00909271
302,-0.007866448
303,0.0033287967
304,-0.015382443
305,0.005221097
306,0.004988782
307,-0.029502021
308,0.010577808
309,0.021876628
310,0.0013818529
311,-0.0204551
312,-0.019682594
313,0.010884385
314,0.0034131948
315,0.0025292316
316,0.0018551872
317,0.005218398
318,-0.047831576
319,-0.00459399
320,-0.0023536491
321,0.005117943
322,0.008278946
323,0.008377027
324,0.014616833
325,0.010230584
326,-0.02219937
327,-0.022274297
328,0.009907738
329,0.015342266
330,0.001109977
331,0.0013962421
332,0.010088869
333,-0.0013993221
334,0.010757845
335,0.016113775
336,0.002874678
337,0.010780941
338,0.018186448
339,0.00093831855
340,-0.025768388
341,-0.00069455267
342,0.008690778
343,0.0045101275
344,-0.008828854
345,0.0027220654
346,-0.0329891
347,0.005804922
348,-0.008350212
349,-0.007697554
350,0.015995087
351,0.017142246
352,-0.004821757
353,0.017562542
354,0.008845309
355,0.0033859867
356,0.0035066889
357,0.0020516335
358,-0.0006922665
359,-0.0015014021
360,0.01708045
361,0.0067348336
362,0.014438125
363,0.007830162
364,-0.026114762
365,-0.018061187
366,0.0009852715
367,-0.002732031
368,-0.006561338
369,-0.011508556
370,-0.0043996745
371,-0.0070352675
372,0.0008906014
373,0.00844143
374,0.0011927104
375,0.00013053676
376,0.012193439
377,-0.00034503592
378,0.009605801
379,-0.023222424
380,0.008218897
381,0.001880858
382,0.015032972
383,0.010604883
384,0.010606379
385,0.0070268707
386,-0.0037906386
387,0.013212141
388,-0.0042566247
389,0.014456443
390,0.0016392133
391,-0.004365733
392,0.01102471
393,0.0009684977
394,-0.00018322899
395,0.0018831244
396,-0.0029851825
397,0.002434906
398,-0.0022833433
399,0.004912201
400,0.007077808
401,0.0024165423
402,-0.0009475099
403,-0.022700312
404,0.008187014
405,-0.01197034
406,0.00239516
407,0.016554566
408,0.009388611
409,0.0129869105
410,-0.008168991
411,-0.013187341
412,0.011985806
413,0.011254487
414,-0.010721547
415,0.0076769334
416,0.017555686
417,0.0076949224
418,0.004806554
419,-0.0011274731
420,-0.010349769
421,0.0025542271
422,-0.006892078
423,0.015644051
424,0.00977888
425,-0.02520687
426,0.01116531
427,0.015377899
428,-0.0040222392
429,0.0010185589
430,0.0074766036
431,-0.0036143663
432,0.014585335
433,-0.018980237
434,0.017622186
435,0.019534636
436,0.0068331575
437,0.0070708212
438,0.00065456383
439,0.006270067
440,0.01358129
441,0.0031364588
442,-0.016716393
443,-0.0051984848
444,0.0009294413
445,0.005983827
446,0.0019821965
447,-0.0051444713
448,0.0024061794
449,0.010185356
450,-0.008652903
451,0.023907179
452,-0.0003293336
453,0.0008636253
454,-0.023366235
455,-0.00035954104
456,0.0035442836
457,-0.0058148867
458,-0.0064616236
459,0.0011647074
460,0.011860356
461,0.016714614
462,-0.0033168052
463,0.00035654806
464,0.0039519398
465,8.768472e-05
466,-0.008182872
467,0.003442767
468,0.0040923143
469,-0.025106624
470,0.012479528
471,0.0066429484
472,0.012538217
473,-0.015890025
474,0.0061164154
475,0.0117734475
476,0.020580538
477,0.0053346967
478,0.0077533904
479,0.00027810317
480,-0.0008394912
481,0.0009151581
482,-0.033828057
483,-0.006079607
484,0.01491599
485,0.0009726186
486,-0.058695868
487,0.0100783035
488,0.0003966873
489,0.001688818
490,0.005595832
491,-0.0017609353
492,0.008852396
493,0.010728154
494,0.0020104048
495,-0.0012543239
496,0.00068024825
497,0.015308035
498,-0.0009763632
499,-0.0053266347
500,0.009621296
501,0.005896419
502,0.0022718285
503,0.01060209
504,0.0061978116
505,-0.00780054
506,0.005702586
507,-0.013847375
508,-0.010239276
509,0.01149831
510,-0.0050545065
511,-0.006095605
512,0.015209877
513,-0.003070611
514,0.0051163887
515,0.010910893
516,0.011126271
517,0.0022885476
518,-0.031962667
519,-0.0018177666
520,0.0067387577
521,0.005044704
522,-0.011501972
523,-0.019580062
