,omega
0,-0.014295956
1,0.0070527713
2,0.0076195374
3,0.0016295816
4,0.004078622
5,-0.0015508379
6,-0.00014082948
7,0.009284672
8,-0.0017326754
9,0.0021596134
10,0.0049860724
11,-0.0064835795
12,0.0027525225
13,0.0008274155
14,-0.0009638745
15,-0.0011172573
16,-0.0046451963
17,-0.00043360435
18,-0.0059580863
19,0.0008002202
20,-0.010047163
21,-0.0075551504
22,0.001318276
23,-0.0048150225
24,0.003832342
25,-0.01901865
26,0.0011785838
27,0.0075797793
28,0.0054087755
29,0.0016373228
30,-0.0018028438
31,0.0010991641
32,-0.003490494
33,-0.00019380968
34,0.00022834016
35,-0.0034770533
36,0.003503806
37,0.0095991865
38,-0.0016517569
39,0.00135774
40,-0.029205706
41,-0.0029718112
42,-0.004941717
43,-0.0043734796
44,-0.020423375
45,0.0022647735
46,0.004719697
47,-0.00429973
48,0.000205938
49,0.0054836804
50,0.0018705034
51,0.0055270703
52,-0.009129326
53,-0.0007411069
54,-0.003357666
55,0.005958852
56,-0.003353848
57,0.001975502
58,0.0055719884
59,-0.0025114533
60,0.00074827776
61,0.0019143124
62,0.0029996298
63,0.00062606984
64,0.00018267194
65,0.0032786238
66,0.005935676
67,0.0009933021
68,0.0023587183
69,0.0022290018
70,-0.0035058528
71,-0.0014569876
72,0.0007048744
73,0.0032463777
74,0.0005571054
75,0.0052771154
76,0.00273679
77,0.0027931712
78,-0.0027015854
79,-0.0014156037
80,-0.00030914287
81,0.00870218
82,-0.005707363
83,-0.0075216605
84,-0.0013823882
85,-0.00017668912
86,0.0011876515
87,0.004081274
88,-0.017699782
89,0.0025042247
90,0.00023850263
91,-0.0006680917
92,0.005975543
93,-0.0024337922
94,0.0058886465
95,0.0018910789
96,0.00054220064
97,-0.0012776458
98,-0.00019065943
99,-0.035201073
100,0.010442855
101,0.0033789624
102,-0.005805721
103,0.00089717656
104,0.00015570258
105,0.0028490582
106,0.0013156697
107,0.00020340143
108,0.0003344972
109,0.0024631617
110,-0.023760336
111,-0.0073645795
112,0.010503525
113,0.0009288102
114,-0.042039834
115,0.0012023484
116,-0.012410883
117,0.0058821426
118,0.0010512453
119,-0.0031197164
120,0.0092083765
121,0.0006717177
122,-0.0010504154
123,0.0015587355
124,-0.0008609186
125,-0.0043395637
126,0.0031441438
127,-0.00039476727
128,-0.0102731325
129,0.004493565
130,-0.013910724
131,-0.00016172102
132,-0.0033345534
133,-0.004343786
134,6.073597e-05
135,0.002948165
136,-0.019339038
137,0.00025084848
138,-0.0028784766
139,-0.008976523
140,0.005391035
141,-0.0108908545
142,0.0075026136
143,0.0004857015
144,-0.047123346
145,0.0031383836
146,0.0047335215
147,0.00541787
148,0.0046221456
149,-0.004107548
150,-0.03638848
151,0.0037248041
152,0.0028640516
153,-0.0009476057
154,0.0048986315
155,0.0010226971
156,-0.002036876
157,0.002398322
158,0.00587161
159,-0.015031576
160,0.004352441
161,0.0010037652
162,0.007482652
163,0.005692887
164,0.009487374
165,-0.010883874
166,0.0052679926
167,-0.0042081974
168,-0.0018323727
169,-0.0018981082
170,-0.0012458975
171,-0.03764201
172,-5.0117844e-05
173,-0.0006728255
174,-0.011871393
175,-0.008546498
176,-0.016060475
177,0.0067663216
178,0.0027982774
179,-0.008663603
180,-5.194219e-05
181,-0.0001466815
182,0.0015951609
183,0.00147043
184,-0.0012428464
185,0.00097040855
186,0.004389559
187,0.0049137026
188,-0.018776523
189,-0.011903094
190,0.0029266803
191,-0.0002883515
192,-0.00030110427
193,0.00089079526
194,0.0003114522
195,0.0007462788
196,0.006487401
197,-0.00021394703
198,-0.035641633
199,-0.015362203
200,0.0031588569
201,0.0006643244
202,-0.00059306354
203,-0.009128821
204,-0.0068458635
205,-0.002684115
206,-0.001846829
207,-0.0019493615
208,-0.006644256
209,0.0009546331
210,-0.0030242398
211,-0.0013616254
212,0.005898764
213,0.0017314585
214,-0.0005962702
215,0.004895317
216,0.0058432654
217,-0.00023874105
218,-0.008506392
219,0.0036397786
220,0.0013073772
221,0.0035233404
222,0.00047342014
223,-0.004588788
224,-0.0041371402
225,-0.00028243067
226,0.010699036
227,0.0020493255
228,-0.009467632
229,0.005192189
230,0.010495187
231,-0.002380591
232,-0.035512555
233,-0.0015852028
234,-0.016309906
235,-0.021764817
236,0.00688656
237,0.0022991528
238,0.012350297
239,0.0010730502
240,0.0060954173
241,-0.002186814
242,0.0038210992
243,-0.007229689
244,0.0025311161
245,-0.0059341574
246,0.0035566585
247,0.0032836655
248,-0.0080611855
249,0.014157318
250,-0.055121902
251,-0.0003282794
252,0.00081379025
253,0.0014429458
254,-0.04135237
255,0.0048828404
256,0.0031239856
257,-0.001093163
258,0.004358264
259,0.0028827884
260,-0.007330547
261,-0.0002805359
262,-0.00050901074
263,0.0047099357
264,0.0012790861
265,0.0040214867
266,0.004269452
267,-0.040880375
268,-0.004152998
269,0.0011458191
270,-0.0010869693
271,0.0069495495
272,0.004628414
273,-0.0004885511
274,0.011885185
275,0.0001737019
276,-0.006972773
277,0.002329743
278,0.003938485
279,-0.008367241
280,0.0035842382
281,-0.004645984
282,-0.011785331
283,-0.024922298
284,0.010571636
285,-0.0076003843
286,-0.018816143
287,-0.039889432
288,-0.00047698064
289,-0.0012909493
290,-0.0018146362
291,-0.00432902
292,0.008231707
293,0.0034084474
294,-0.0037191096
295,-0.009867511
296,-0.00034746347
297,-0.04666726
298,-0.012433112
299,-0.002479543
300,0.0038037049
301,-0.0025157696
302,-0.007973576
303,0.0016773423
304,-0.001790576
305,0.004570017
306,0.0038043866
307,-0.003296626
308,0.0018113074
309,0.0030469196
310,0.00036294456
311,-0.03870783
312,-0.046711233
313,0.007313924
314,0.0018847861
315,0.0038226955
316,0.0018801031
317,-0.0012687214
318,-0.017433751
319,0.0052970056
320,0.00031664793
321,0.0025578674
322,0.0026045837
323,0.00023112923
324,-0.013767845
325,0.0019705854
326,-0.00015243678
327,-0.01708982
328,0.0017504836
329,0.008907082
330,-0.00919814
331,0.0025654798
332,0.0043796874
333,0.00026227243
334,0.008318366
335,0.0055324594
336,0.0030778358
337,-0.0060158074
338,-0.0007068777
339,-0.0034257951
340,-0.026692228
341,-0.002525472
342,0.0025125039
343,-0.001853429
344,-0.0034479406
345,0.0050128633
346,-0.048975345
347,0.0001747451
348,-0.00070262805
349,-0.0049408707
350,0.009905051
351,0.0015557085
352,0.0032150752
353,-0.0014909541
354,0.0025587007
355,-0.004336955
356,-0.0044337194
357,0.0030530067
358,-0.0024148906
359,-0.0054190117
360,0.008047223
361,0.005840594
362,0.004421234
363,0.005938377
364,-0.0075048776
365,-0.0028247582
366,0.008253531
367,0.007030328
368,-0.0034016431
369,-0.021105824
370,-0.009755015
371,-0.0034720188
372,-0.0012493203
373,-0.0008070384
374,4.0631392e-05
375,-0.0039447397
376,0.0041238815
377,-0.018957568
378,0.0018080365
379,-0.0032151958
380,0.0024478415
381,0.0019003185
382,0.0030240505
383,0.0019364784
384,0.005052611
385,-0.0010875812
386,-0.002726736
387,0.0060523083
388,0.00032574497
389,0.00033430313
390,0.00084167765
391,-0.0010971937
392,-0.0006294349
393,0.0003860623
394,0.003329713
395,-0.0031183874
396,0.0015579303
397,0.007643982
398,0.0029733852
399,0.0010645845
400,6.636686e-05
401,-0.0060271323
402,-0.0018789843
403,-0.03722132
404,0.000718773
405,-0.014590143
406,0.00053162617
407,-0.00014945061
408,0.0054878495
409,0.0062492015
410,-0.0086008655
411,-0.009774233
412,0.004776244
413,-0.0022727936
414,-0.0139201665
415,-0.004800448
416,0.0013821997
417,0.0024388083
418,0.0019369144
419,0.008475876
420,-0.00090942555
