,omega
0,0.3598805
1,-0.029719297
2,-0.017564693
3,-0.03333641
4,0.13223167
5,-0.04939317
6,-0.01381305
7,0.41912338
8,0.1924468
9,-0.02048992
10,-0.026509391
11,0.17108504
12,-0.041795254
13,-0.005171832
14,-0.06977757
15,-0.04021391
16,-0.048035763
17,-0.00025781663
18,-0.0731267
19,0.0056413594
20,0.5009451
21,0.13794161
22,-0.024945822
23,-0.023579858
24,-0.06148416
25,-0.09621067
26,0.43328103
27,0.028251112
28,-0.037344832
29,-0.032597307
30,-0.0373663
31,-0.010292148
32,-0.043335658
33,-0.05484768
34,0.004102866
35,-0.026559813
36,-0.032601252
37,-0.038829252
38,0.4927099
39,-0.008881365
40,-0.06905671
41,-0.059662785
42,-0.043361828
43,-0.0808509
44,0.37448764
45,-0.046238914
46,6.5239146e-07
47,-0.067724966
48,-0.019210398
49,-0.09363116
50,-0.00026000442
51,0.011469789
52,0.043061517
53,-0.03164851
54,-0.00069939194
55,-0.038908333
56,0.31081623
57,-0.04378544
58,-0.04659023
59,-0.041480087
60,-0.04839509
61,-0.07000749
62,-0.073507726
63,-0.04271412
64,-0.0720291
65,0.2330761
66,-0.00018525496
67,-0.02795247
68,-0.023508372
69,-0.03676611
70,-0.003865459
71,-0.029610965
72,-0.0393691
73,-0.067787945
74,-0.010978075
75,-0.016098186
76,-0.04976032
77,-0.059834726
78,-0.0014683738
79,-0.032535497
80,-0.032366205
81,-0.038178794
82,0.47244778
83,-0.0057183523
84,-0.057195704
85,-0.011909977
86,-0.010961764
87,-0.031891968
88,-0.008240358
89,0.08029916
90,-0.008208767
91,-0.031754415
92,-0.056355484
93,0.20495093
94,-0.0030096942
95,-0.0029601813
96,-0.005335196
97,-0.03315271
98,-0.025350343
99,-0.03744363
100,-0.0447672
101,-0.05340907
102,0.48354256
103,-0.036090665
104,-0.010728405
105,-0.07297351
106,-0.06855601
107,-0.0051904907
108,-0.013469897
109,-0.054677457
110,0.38977242
111,-0.09699438
112,-0.012149318
113,-0.0069835493
114,-0.03851605
115,-0.016457058
116,-0.0633507
117,-0.03453107
118,-0.02405968
119,-0.031043679
120,-0.022694802
121,-0.000922211
122,-0.052677143
123,-0.0643083
124,-0.049119473
125,0.042714342
126,-0.029855128
127,-0.033375315
128,-0.01581121
129,-0.038126435
130,0.38509688
131,-0.017868077
