,omega
0,0.31993043
1,-0.02829986
2,0.010179121
3,-0.034991078
4,0.120454155
5,-0.05722133
6,-0.028329767
7,0.34874588
8,0.2108307
9,-0.010331926
10,-0.011717103
11,0.13050814
12,-0.04017925
13,-0.0067909923
14,-0.09501821
15,-0.053988673
16,-0.05749473
17,-0.028260883
18,-0.05682157
19,0.0007327092
20,0.3242198
21,0.079487815
22,-0.018843211
23,-0.041695457
24,-0.07711338
25,-0.0886744
26,0.34672514
27,-0.0014958648
28,-0.055818677
29,-0.04421007
30,-0.044888783
31,-0.009401246
32,-0.045132358
33,-0.077164404
34,-0.015476406
35,-0.009270906
36,-0.042973526
37,-0.06632448
38,0.3781532
39,-0.0046809632
40,-0.0972015
41,-0.05021309
42,-0.057620205
43,-0.0986892
44,0.20960322
45,-0.055221435
46,0.0009862178
47,-0.07921061
48,-0.05381324
49,-0.07278641
50,-0.014564538
51,-0.008712339
52,0.018999724
53,-0.047688
54,-0.006033929
55,-0.054084394
56,0.32134214
57,-0.053097863
58,-0.0490716
59,-0.048743762
60,-0.06607887
61,-0.09655198
62,-0.040790744
63,-0.023178274
64,-0.0635548
65,0.17196605
66,0.003028655
67,-0.02417835
68,-0.025747702
69,-0.058325592
70,-0.006634515
71,-0.039309625
72,-0.034489732
73,-0.040186495
74,-0.009118254
75,-0.0033804127
76,-0.062216934
77,-0.0746994
78,-0.007153546
79,-0.03664066
80,-0.02041482
81,-0.060735207
82,0.3714698
83,-0.02763272
84,-0.07441431
85,-0.008964624
86,-0.018203937
87,-0.03948374
88,-0.016383281
89,0.010495989
90,-0.005044256
91,-0.024873268
92,-0.045340598
93,0.21026574
94,-0.0028916108
95,-0.00087529817
96,-0.009149935
97,-0.06694932
98,-0.044498995
99,-0.049087334
100,-0.063374475
101,-0.039215475
102,0.35990018
103,-0.040017888
104,-0.012203657
105,-0.062000446
106,-0.06556824
107,0.0035563007
108,-0.02186459
109,-0.05529461
110,0.27321625
111,-0.09241258
112,-0.033044174
113,-0.012170281
114,-0.027487736
115,-0.04495554
116,-0.080418825
117,-0.03261746
118,-0.04593634
119,-0.042895593
120,-0.014388112
121,-0.016122827
122,-0.06551036
123,-0.06849561
124,-0.06495371
125,0.024073076
126,-0.040342424
127,-0.021617766
128,-0.078362465
129,-0.029334301
130,0.27114248
131,-0.048936203
132,-0.03906613
133,-0.0574198
134,-0.06447196
135,-0.041580137
136,-0.057660513
137,0.15542029
138,-0.07185721
139,0.05775887
140,-0.061317593
141,-0.02879956
142,-0.024648007
143,-0.014522542
144,-0.035428554
145,-0.025913939
146,-0.04161764
147,0.010644745
148,-0.061994214
149,-0.031148873
150,-0.048793595
151,0.116246015
152,0.36647746
153,-0.034417942
154,0.122860506
155,-0.05564922
156,-0.008927342
157,-0.06401584
158,-0.04048177
159,-0.08657539
160,-0.01275257
161,-0.04550748
162,0.11609855
163,-0.026828304
164,-0.014815404
165,0.24655911
166,0.122641906
167,-0.07288315
168,0.025282498
169,-0.0719192
170,-0.04136472
171,-0.10008952
172,-0.025379907
173,-0.04690461
174,0.29158843
175,-0.040467184
